,contrast,,,,,,,Contrast,estimate,SE,df,t.ratio,p.value
,Treated,A,num_days0,-,Untreated,A,num_days0,Treated A num_days0-Untreated A num_days0,-0.2917,2.34,7.13,-0.125,1
,Treated,A,num_days0,-,Treated,B,num_days0,Treated A num_days0-Treated B num_days0,4.2358,1.72,52,2.47,1
,Treated,A,num_days0,-,Untreated,B,num_days0,Treated A num_days0-Untreated B num_days0,1.3192,2.34,7.13,0.565,1
,Treated,A,num_days0,-,Treated,C,num_days0,Treated A num_days0-Treated C num_days0,0.3917,1.72,52,0.228,1
,Treated,A,num_days0,-,Untreated,C,num_days0,Treated A num_days0-Untreated C num_days0,1.2617,2.34,7.13,0.54,1
,Treated,A,num_days0,-,Treated,A,num_days7,Treated A num_days0-Treated A num_days7,-1.0533,1.72,52,-0.614,1
,Treated,A,num_days0,-,Untreated,A,num_days7,Treated A num_days0-Untreated A num_days7,-1.4208,2.34,7.13,-0.608,1
,Treated,A,num_days0,-,Treated,B,num_days7,Treated A num_days0-Treated B num_days7,4.6242,1.72,52,2.696,1
,Treated,A,num_days0,-,Untreated,B,num_days7,Treated A num_days0-Untreated B num_days7,2.52,2.34,7.13,1.078,1
,Treated,A,num_days0,-,Treated,C,num_days7,Treated A num_days0-Treated C num_days7,0.7958,1.72,52,0.464,1
,Treated,A,num_days0,-,Untreated,C,num_days7,Treated A num_days0-Untreated C num_days7,0.2175,2.34,7.13,0.093,1
,Treated,A,num_days0,-,Treated,A,num_days28,Treated A num_days0-Treated A num_days28,3.6083,1.72,52,2.104,1
,Treated,A,num_days0,-,Untreated,A,num_days28,Treated A num_days0-Untreated A num_days28,4.6417,2.34,7.13,1.986,1
,Treated,A,num_days0,-,Treated,B,num_days28,Treated A num_days0-Treated B num_days28,3.5117,1.72,52,2.047,1
,Treated,A,num_days0,-,Untreated,B,num_days28,Treated A num_days0-Untreated B num_days28,5.19,2.34,7.13,2.221,1
,Treated,A,num_days0,-,Treated,C,num_days28,Treated A num_days0-Treated C num_days28,2.4433,1.72,52,1.425,1
,Treated,A,num_days0,-,Untreated,C,num_days28,Treated A num_days0-Untreated C num_days28,4.765,2.34,7.13,2.039,1
,Untreated,A,num_days0,-,Treated,B,num_days0,Untreated A num_days0-Treated B num_days0,4.5275,2.34,7.13,1.938,1
,Untreated,A,num_days0,-,Untreated,B,num_days0,Untreated A num_days0-Untreated B num_days0,1.6108,1.72,52,0.939,1
,Untreated,A,num_days0,-,Treated,C,num_days0,Untreated A num_days0-Treated C num_days0,0.6833,2.34,7.13,0.292,1
,Untreated,A,num_days0,-,Untreated,C,num_days0,Untreated A num_days0-Untreated C num_days0,1.5533,1.72,52,0.906,1
,Untreated,A,num_days0,-,Treated,A,num_days7,Untreated A num_days0-Treated A num_days7,-0.7617,2.34,7.13,-0.326,1
,Untreated,A,num_days0,-,Untreated,A,num_days7,Untreated A num_days0-Untreated A num_days7,-1.1292,1.72,52,-0.658,1
,Untreated,A,num_days0,-,Treated,B,num_days7,Untreated A num_days0-Treated B num_days7,4.9158,2.34,7.13,2.104,1
,Untreated,A,num_days0,-,Untreated,B,num_days7,Untreated A num_days0-Untreated B num_days7,2.8117,1.72,52,1.639,1
,Untreated,A,num_days0,-,Treated,C,num_days7,Untreated A num_days0-Treated C num_days7,1.0875,2.34,7.13,0.465,1
,Untreated,A,num_days0,-,Untreated,C,num_days7,Untreated A num_days0-Untreated C num_days7,0.5092,1.72,52,0.297,1
,Untreated,A,num_days0,-,Treated,A,num_days28,Untreated A num_days0-Treated A num_days28,3.9,2.34,7.13,1.669,1
,Untreated,A,num_days0,-,Untreated,A,num_days28,Untreated A num_days0-Untreated A num_days28,4.9333,1.72,52,2.876,0.8906
,Untreated,A,num_days0,-,Treated,B,num_days28,Untreated A num_days0-Treated B num_days28,3.8033,2.34,7.13,1.628,1
,Untreated,A,num_days0,-,Untreated,B,num_days28,Untreated A num_days0-Untreated B num_days28,5.4817,1.72,52,3.196,0.3627
,Untreated,A,num_days0,-,Treated,C,num_days28,Untreated A num_days0-Treated C num_days28,2.735,2.34,7.13,1.17,1
,Untreated,A,num_days0,-,Untreated,C,num_days28,Untreated A num_days0-Untreated C num_days28,5.0567,1.72,52,2.948,0.731
,Treated,B,num_days0,-,Untreated,B,num_days0,Treated B num_days0-Untreated B num_days0,-2.9167,2.34,7.13,-1.248,1
,Treated,B,num_days0,-,Treated,C,num_days0,Treated B num_days0-Treated C num_days0,-3.8442,1.72,52,-2.241,1
,Treated,B,num_days0,-,Untreated,C,num_days0,Treated B num_days0-Untreated C num_days0,-2.9742,2.34,7.13,-1.273,1
,Treated,B,num_days0,-,Treated,A,num_days7,Treated B num_days0-Treated A num_days7,-5.2892,1.72,52,-3.084,0.5001
,Treated,B,num_days0,-,Untreated,A,num_days7,Treated B num_days0-Untreated A num_days7,-5.6567,2.34,7.13,-2.421,1
,Treated,B,num_days0,-,Treated,B,num_days7,Treated B num_days0-Treated B num_days7,0.3883,1.72,52,0.226,1
,Treated,B,num_days0,-,Untreated,B,num_days7,Treated B num_days0-Untreated B num_days7,-1.7158,2.34,7.13,-0.734,1
,Treated,B,num_days0,-,Treated,C,num_days7,Treated B num_days0-Treated C num_days7,-3.44,1.72,52,-2.006,1
,Treated,B,num_days0,-,Untreated,C,num_days7,Treated B num_days0-Untreated C num_days7,-4.0183,2.34,7.13,-1.72,1
,Treated,B,num_days0,-,Treated,A,num_days28,Treated B num_days0-Treated A num_days28,-0.6275,1.72,52,-0.366,1
,Treated,B,num_days0,-,Untreated,A,num_days28,Treated B num_days0-Untreated A num_days28,0.4058,2.34,7.13,0.174,1
,Treated,B,num_days0,-,Treated,B,num_days28,Treated B num_days0-Treated B num_days28,-0.7242,1.72,52,-0.422,1
,Treated,B,num_days0,-,Untreated,B,num_days28,Treated B num_days0-Untreated B num_days28,0.9542,2.34,7.13,0.408,1
,Treated,B,num_days0,-,Treated,C,num_days28,Treated B num_days0-Treated C num_days28,-1.7925,1.72,52,-1.045,1
,Treated,B,num_days0,-,Untreated,C,num_days28,Treated B num_days0-Untreated C num_days28,0.5292,2.34,7.13,0.226,1
,Untreated,B,num_days0,-,Treated,C,num_days0,Untreated B num_days0-Treated C num_days0,-0.9275,2.34,7.13,-0.397,1
,Untreated,B,num_days0,-,Untreated,C,num_days0,Untreated B num_days0-Untreated C num_days0,-0.0575,1.72,52,-0.034,1
,Untreated,B,num_days0,-,Treated,A,num_days7,Untreated B num_days0-Treated A num_days7,-2.3725,2.34,7.13,-1.015,1
,Untreated,B,num_days0,-,Untreated,A,num_days7,Untreated B num_days0-Untreated A num_days7,-2.74,1.72,52,-1.598,1
,Untreated,B,num_days0,-,Treated,B,num_days7,Untreated B num_days0-Treated B num_days7,3.305,2.34,7.13,1.414,1
,Untreated,B,num_days0,-,Untreated,B,num_days7,Untreated B num_days0-Untreated B num_days7,1.2008,1.72,52,0.7,1
,Untreated,B,num_days0,-,Treated,C,num_days7,Untreated B num_days0-Treated C num_days7,-0.5233,2.34,7.13,-0.224,1
,Untreated,B,num_days0,-,Untreated,C,num_days7,Untreated B num_days0-Untreated C num_days7,-1.1017,1.72,52,-0.642,1
,Untreated,B,num_days0,-,Treated,A,num_days28,Untreated B num_days0-Treated A num_days28,2.2892,2.34,7.13,0.98,1
,Untreated,B,num_days0,-,Untreated,A,num_days28,Untreated B num_days0-Untreated A num_days28,3.3225,1.72,52,1.937,1
,Untreated,B,num_days0,-,Treated,B,num_days28,Untreated B num_days0-Treated B num_days28,2.1925,2.34,7.13,0.938,1
,Untreated,B,num_days0,-,Untreated,B,num_days28,Untreated B num_days0-Untreated B num_days28,3.8708,1.72,52,2.257,1
,Untreated,B,num_days0,-,Treated,C,num_days28,Untreated B num_days0-Treated C num_days28,1.1242,2.34,7.13,0.481,1
,Untreated,B,num_days0,-,Untreated,C,num_days28,Untreated B num_days0-Untreated C num_days28,3.4458,1.72,52,2.009,1
,Treated,C,num_days0,-,Untreated,C,num_days0,Treated C num_days0-Untreated C num_days0,0.87,2.34,7.13,0.372,1
,Treated,C,num_days0,-,Treated,A,num_days7,Treated C num_days0-Treated A num_days7,-1.445,1.72,52,-0.842,1
,Treated,C,num_days0,-,Untreated,A,num_days7,Treated C num_days0-Untreated A num_days7,-1.8125,2.34,7.13,-0.776,1
,Treated,C,num_days0,-,Treated,B,num_days7,Treated C num_days0-Treated B num_days7,4.2325,1.72,52,2.468,1
,Treated,C,num_days0,-,Untreated,B,num_days7,Treated C num_days0-Untreated B num_days7,2.1283,2.34,7.13,0.911,1
,Treated,C,num_days0,-,Treated,C,num_days7,Treated C num_days0-Treated C num_days7,0.4042,1.72,52,0.236,1
,Treated,C,num_days0,-,Untreated,C,num_days7,Treated C num_days0-Untreated C num_days7,-0.1742,2.34,7.13,-0.075,1
,Treated,C,num_days0,-,Treated,A,num_days28,Treated C num_days0-Treated A num_days28,3.2167,1.72,52,1.875,1
,Treated,C,num_days0,-,Untreated,A,num_days28,Treated C num_days0-Untreated A num_days28,4.25,2.34,7.13,1.819,1
,Treated,C,num_days0,-,Treated,B,num_days28,Treated C num_days0-Treated B num_days28,3.12,1.72,52,1.819,1
,Treated,C,num_days0,-,Untreated,B,num_days28,Treated C num_days0-Untreated B num_days28,4.7983,2.34,7.13,2.053,1
,Treated,C,num_days0,-,Treated,C,num_days28,Treated C num_days0-Treated C num_days28,2.0517,1.72,52,1.196,1
,Treated,C,num_days0,-,Untreated,C,num_days28,Treated C num_days0-Untreated C num_days28,4.3733,2.34,7.13,1.872,1
,Untreated,C,num_days0,-,Treated,A,num_days7,Untreated C num_days0-Treated A num_days7,-2.315,2.34,7.13,-0.991,1
,Untreated,C,num_days0,-,Untreated,A,num_days7,Untreated C num_days0-Untreated A num_days7,-2.6825,1.72,52,-1.564,1
,Untreated,C,num_days0,-,Treated,B,num_days7,Untreated C num_days0-Treated B num_days7,3.3625,2.34,7.13,1.439,1
,Untreated,C,num_days0,-,Untreated,B,num_days7,Untreated C num_days0-Untreated B num_days7,1.2583,1.72,52,0.734,1
,Untreated,C,num_days0,-,Treated,C,num_days7,Untreated C num_days0-Treated C num_days7,-0.4658,2.34,7.13,-0.199,1
,Untreated,C,num_days0,-,Untreated,C,num_days7,Untreated C num_days0-Untreated C num_days7,-1.0442,1.72,52,-0.609,1
,Untreated,C,num_days0,-,Treated,A,num_days28,Untreated C num_days0-Treated A num_days28,2.3467,2.34,7.13,1.004,1
,Untreated,C,num_days0,-,Untreated,A,num_days28,Untreated C num_days0-Untreated A num_days28,3.38,1.72,52,1.971,1
,Untreated,C,num_days0,-,Treated,B,num_days28,Untreated C num_days0-Treated B num_days28,2.25,2.34,7.13,0.963,1
,Untreated,C,num_days0,-,Untreated,B,num_days28,Untreated C num_days0-Untreated B num_days28,3.9283,1.72,52,2.29,1
,Untreated,C,num_days0,-,Treated,C,num_days28,Untreated C num_days0-Treated C num_days28,1.1817,2.34,7.13,0.506,1
,Untreated,C,num_days0,-,Untreated,C,num_days28,Untreated C num_days0-Untreated C num_days28,3.5033,1.72,52,2.043,1
,Treated,A,num_days7,-,Untreated,A,num_days7,Treated A num_days7-Untreated A num_days7,-0.3675,2.34,7.13,-0.157,1
,Treated,A,num_days7,-,Treated,B,num_days7,Treated A num_days7-Treated B num_days7,5.6775,1.72,52,3.31,0.2599
,Treated,A,num_days7,-,Untreated,B,num_days7,Treated A num_days7-Untreated B num_days7,3.5733,2.34,7.13,1.529,1
,Treated,A,num_days7,-,Treated,C,num_days7,Treated A num_days7-Treated C num_days7,1.8492,1.72,52,1.078,1
,Treated,A,num_days7,-,Untreated,C,num_days7,Treated A num_days7-Untreated C num_days7,1.2708,2.34,7.13,0.544,1
,Treated,A,num_days7,-,Treated,A,num_days28,Treated A num_days7-Treated A num_days28,4.6617,1.72,52,2.718,1
,Treated,A,num_days7,-,Untreated,A,num_days28,Treated A num_days7-Untreated A num_days28,5.695,2.34,7.13,2.437,1
,Treated,A,num_days7,-,Treated,B,num_days28,Treated A num_days7-Treated B num_days28,4.565,1.72,52,2.662,1
,Treated,A,num_days7,-,Untreated,B,num_days28,Treated A num_days7-Untreated B num_days28,6.2433,2.34,7.13,2.672,1
,Treated,A,num_days7,-,Treated,C,num_days28,Treated A num_days7-Treated C num_days28,3.4967,1.72,52,2.039,1
,Treated,A,num_days7,-,Untreated,C,num_days28,Treated A num_days7-Untreated C num_days28,5.8183,2.34,7.13,2.49,1
,Untreated,A,num_days7,-,Treated,B,num_days7,Untreated A num_days7-Treated B num_days7,6.045,2.34,7.13,2.587,1
,Untreated,A,num_days7,-,Untreated,B,num_days7,Untreated A num_days7-Untreated B num_days7,3.9408,1.72,52,2.298,1
,Untreated,A,num_days7,-,Treated,C,num_days7,Untreated A num_days7-Treated C num_days7,2.2167,2.34,7.13,0.949,1
,Untreated,A,num_days7,-,Untreated,C,num_days7,Untreated A num_days7-Untreated C num_days7,1.6383,1.72,52,0.955,1
,Untreated,A,num_days7,-,Treated,A,num_days28,Untreated A num_days7-Treated A num_days28,5.0292,2.34,7.13,2.152,1
,Untreated,A,num_days7,-,Untreated,A,num_days28,Untreated A num_days7-Untreated A num_days28,6.0625,1.72,52,3.535,0.1327
,Untreated,A,num_days7,-,Treated,B,num_days28,Untreated A num_days7-Treated B num_days28,4.9325,2.34,7.13,2.111,1
,Untreated,A,num_days7,-,Untreated,B,num_days28,Untreated A num_days7-Untreated B num_days28,6.6108,1.72,52,3.854,0.0491
,Untreated,A,num_days7,-,Treated,C,num_days28,Untreated A num_days7-Treated C num_days28,3.8642,2.34,7.13,1.654,1
,Untreated,A,num_days7,-,Untreated,C,num_days28,Untreated A num_days7-Untreated C num_days28,6.1858,1.72,52,3.607,0.1065
,Treated,B,num_days7,-,Untreated,B,num_days7,Treated B num_days7-Untreated B num_days7,-2.1042,2.34,7.13,-0.9,1
,Treated,B,num_days7,-,Treated,C,num_days7,Treated B num_days7-Treated C num_days7,-3.8283,1.72,52,-2.232,1
,Treated,B,num_days7,-,Untreated,C,num_days7,Treated B num_days7-Untreated C num_days7,-4.4067,2.34,7.13,-1.886,1
,Treated,B,num_days7,-,Treated,A,num_days28,Treated B num_days7-Treated A num_days28,-1.0158,1.72,52,-0.592,1
,Treated,B,num_days7,-,Untreated,A,num_days28,Treated B num_days7-Untreated A num_days28,0.0175,2.34,7.13,0.007,1
,Treated,B,num_days7,-,Treated,B,num_days28,Treated B num_days7-Treated B num_days28,-1.1125,1.72,52,-0.649,1
,Treated,B,num_days7,-,Untreated,B,num_days28,Treated B num_days7-Untreated B num_days28,0.5658,2.34,7.13,0.242,1
,Treated,B,num_days7,-,Treated,C,num_days28,Treated B num_days7-Treated C num_days28,-2.1808,1.72,52,-1.272,1
,Treated,B,num_days7,-,Untreated,C,num_days28,Treated B num_days7-Untreated C num_days28,0.1408,2.34,7.13,0.06,1
,Untreated,B,num_days7,-,Treated,C,num_days7,Untreated B num_days7-Treated C num_days7,-1.7242,2.34,7.13,-0.738,1
,Untreated,B,num_days7,-,Untreated,C,num_days7,Untreated B num_days7-Untreated C num_days7,-2.3025,1.72,52,-1.342,1
,Untreated,B,num_days7,-,Treated,A,num_days28,Untreated B num_days7-Treated A num_days28,1.0883,2.34,7.13,0.466,1
,Untreated,B,num_days7,-,Untreated,A,num_days28,Untreated B num_days7-Untreated A num_days28,2.1217,1.72,52,1.237,1
,Untreated,B,num_days7,-,Treated,B,num_days28,Untreated B num_days7-Treated B num_days28,0.9917,2.34,7.13,0.424,1
,Untreated,B,num_days7,-,Untreated,B,num_days28,Untreated B num_days7-Untreated B num_days28,2.67,1.72,52,1.557,1
,Untreated,B,num_days7,-,Treated,C,num_days28,Untreated B num_days7-Treated C num_days28,-0.0767,2.34,7.13,-0.033,1
,Untreated,B,num_days7,-,Untreated,C,num_days28,Untreated B num_days7-Untreated C num_days28,2.245,1.72,52,1.309,1
,Treated,C,num_days7,-,Untreated,C,num_days7,Treated C num_days7-Untreated C num_days7,-0.5783,2.34,7.13,-0.248,1
,Treated,C,num_days7,-,Treated,A,num_days28,Treated C num_days7-Treated A num_days28,2.8125,1.72,52,1.64,1
,Treated,C,num_days7,-,Untreated,A,num_days28,Treated C num_days7-Untreated A num_days28,3.8458,2.34,7.13,1.646,1
,Treated,C,num_days7,-,Treated,B,num_days28,Treated C num_days7-Treated B num_days28,2.7158,1.72,52,1.583,1
,Treated,C,num_days7,-,Untreated,B,num_days28,Treated C num_days7-Untreated B num_days28,4.3942,2.34,7.13,1.881,1
,Treated,C,num_days7,-,Treated,C,num_days28,Treated C num_days7-Treated C num_days28,1.6475,1.72,52,0.961,1
,Treated,C,num_days7,-,Untreated,C,num_days28,Treated C num_days7-Untreated C num_days28,3.9692,2.34,7.13,1.699,1
,Untreated,C,num_days7,-,Treated,A,num_days28,Untreated C num_days7-Treated A num_days28,3.3908,2.34,7.13,1.451,1
,Untreated,C,num_days7,-,Untreated,A,num_days28,Untreated C num_days7-Untreated A num_days28,4.4242,1.72,52,2.579,1
,Untreated,C,num_days7,-,Treated,B,num_days28,Untreated C num_days7-Treated B num_days28,3.2942,2.34,7.13,1.41,1
,Untreated,C,num_days7,-,Untreated,B,num_days28,Untreated C num_days7-Untreated B num_days28,4.9725,1.72,52,2.899,0.8367
,Untreated,C,num_days7,-,Treated,C,num_days28,Untreated C num_days7-Treated C num_days28,2.2258,2.34,7.13,0.953,1
,Untreated,C,num_days7,-,Untreated,C,num_days28,Untreated C num_days7-Untreated C num_days28,4.5475,1.72,52,2.651,1
,Treated,A,num_days28,-,Untreated,A,num_days28,Treated A num_days28-Untreated A num_days28,1.0333,2.34,7.13,0.442,1
,Treated,A,num_days28,-,Treated,B,num_days28,Treated A num_days28-Treated B num_days28,-0.0967,1.72,52,-0.056,1
,Treated,A,num_days28,-,Untreated,B,num_days28,Treated A num_days28-Untreated B num_days28,1.5817,2.34,7.13,0.677,1
,Treated,A,num_days28,-,Treated,C,num_days28,Treated A num_days28-Treated C num_days28,-1.165,1.72,52,-0.679,1
,Treated,A,num_days28,-,Untreated,C,num_days28,Treated A num_days28-Untreated C num_days28,1.1567,2.34,7.13,0.495,1
,Untreated,A,num_days28,-,Treated,B,num_days28,Untreated A num_days28-Treated B num_days28,-1.13,2.34,7.13,-0.484,1
,Untreated,A,num_days28,-,Untreated,B,num_days28,Untreated A num_days28-Untreated B num_days28,0.5483,1.72,52,0.32,1
,Untreated,A,num_days28,-,Treated,C,num_days28,Untreated A num_days28-Treated C num_days28,-2.1983,2.34,7.13,-0.941,1
,Untreated,A,num_days28,-,Untreated,C,num_days28,Untreated A num_days28-Untreated C num_days28,0.1233,1.72,52,0.072,1
,Treated,B,num_days28,-,Untreated,B,num_days28,Treated B num_days28-Untreated B num_days28,1.6783,2.34,7.13,0.718,1
,Treated,B,num_days28,-,Treated,C,num_days28,Treated B num_days28-Treated C num_days28,-1.0683,1.72,52,-0.623,1
,Treated,B,num_days28,-,Untreated,C,num_days28,Treated B num_days28-Untreated C num_days28,1.2533,2.34,7.13,0.536,1
,Untreated,B,num_days28,-,Treated,C,num_days28,Untreated B num_days28-Treated C num_days28,-2.7467,2.34,7.13,-1.175,1
