gene,KOG
Pseudodiploria171384,NA
Pseudodiploria173711,NA
Pseudodiploria184985,NA
Pseudodiploria186543,Mib_herc2
Pseudodiploria189618,RNA polymerase II transcriptional preinitiation complex assembly
Pseudodiploria193272,NA
Pseudodiploria193959,NA
Pseudodiploria194656,Eukaryotic peptide chain release factor subunit
Pseudodiploria197700,anthranilate metabolic process
Pseudodiploria204780,NA
Pseudodiploria205021,NA
Pseudodiploria356459,"ATPase activity, coupled to transmembrane movement of substances"
