"","Initial","Untreated","Treated","SI_C","BC_8b","MB_B"
"1",1,0,0,1,0,0
"2",1,0,0,0,1,0
"3",1,0,0,0,1,0
"4",1,0,0,0,0,1
"5",1,0,0,0,1,0
"6",1,0,0,1,0,0
"7",0,0,1,0,1,0
"8",1,0,0,1,0,0
"9",0,0,1,0,0,1
"10",0,0,1,0,0,1
"11",1,0,0,0,0,1
"12",1,0,0,0,1,0
"13",1,0,0,0,1,0
"14",1,0,0,0,0,1
"15",0,1,0,0,0,1
"16",0,1,0,0,0,1
"17",0,0,1,0,0,1
"18",1,0,0,0,1,0
"19",1,0,0,1,0,0
"20",0,0,1,1,0,0
"21",0,0,1,0,0,1
"22",1,0,0,1,0,0
"23",1,0,0,1,0,0
"24",0,1,0,1,0,0
"25",1,0,0,0,0,1
"27",1,0,0,0,0,1
"28",1,0,0,1,0,0
"29",0,0,1,1,0,0
"30",0,1,0,0,0,1
"31",1,0,0,0,0,1
"32",0,1,0,1,0,0
"33",1,0,0,0,1,0
"34",1,0,0,0,0,1
"35",0,0,1,1,0,0
"36",0,1,0,1,0,0
"37",0,1,0,1,0,0
"38",1,0,0,0,1,0
"39",0,0,1,0,1,0
"40",1,0,0,1,0,0
"41",0,0,1,1,0,0
"42",0,1,0,0,0,1
"43",0,1,0,0,1,0
"44",1,0,0,0,0,1
