gene,lpv_Treated_vs_Initial,lpv_Untreated_vs_Initial,annot,KOG
Acropora_000001,-3.7452765834365676,-1.6390061533157791,"ATP-dependent microtubule motor activity, minus-end-directed",Cytoskeleton
Acropora_000006,-1.5060426683025674,-3.212150436470518,NA,NA
Acropora_000007,-4.4253302055770005,-1.3002949530894952,NA,NA
Acropora_000020,1.1888440189713974,2.423590418633197,protein targeting to mitochondrion,"Intracellular trafficking, secretion, and vesicular transport"
Acropora_000021,1.1402438978108917,-1.7243978716381023,structural molecule activity,
Acropora_000028,-1.5099228637720719,-3.0937350333812237,NA,NA
Acropora_000030,2.00639189508732,11.363108105238645,3-hydroxy-3-methylglutaryl-coenzyme A reductase,Lipid transport and metabolism
Acropora_000032,6.084005265449971,5.009450989927709,unfolded protein binding,"Posttranslational modification, protein turnover, chaperones"
Acropora_000040,-2.7538335104618756,-1.3826457114242432,protein K48-linked ubiquitination,"Posttranslational modification, protein turnover, chaperones"
Acropora_000046,-1.4647437181032759,-3.173058341874019,NA,NA
Acropora_000048,-1.5461027224645298,-2.568930006949921,mRNA 3'-end processing,RNA processing and modification
Acropora_000050,-4.888014346449983,-1.5924041079531543,NA,NA
Acropora_000052,-6.926267141770715,-5.281041794286708,NA,NA
Acropora_000059,1.3016755399187105,5.8284994910323915,NA,NA
Acropora_000067,-6.026732483318101,-3.4234390722619197,NA,NA
Acropora_000072,-4.165367843557779,-3.892630530853488,positive regulation of cilium movement,"Posttranslational modification, protein turnover, chaperones"
Acropora_000077,4.698718182998632,3.313269994480489,NA,NA
Acropora_000079,-1.2690245167685732,-2.5015734600539625,major facilitator superfamily,Carbohydrate transport and metabolism
Acropora_000081,-1.2024160471186394,-4.637607935367888,NA,NA
Acropora_000094,1.014988198438067,4.265551484586159,"beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity",Carbohydrate transport and metabolism
Acropora_000100,1.366094836677168,3.731724965484198,NA,NA
Acropora_000102,3.610633803223032,7.879955441079396,NADH dehydrogenase (ubiquinone) 1 alpha subcomplex,Energy production and conversion
Acropora_000103,1.842211151646023,1.096028017535442,NA,NA
Acropora_000105,-3.1892294563732957,-1.190302752018102,Extracellular calcium-sensing receptor-like,
Acropora_000112,1.9977242201714724,2.9307073962491903,NA,NA
Acropora_000119,-11.989363251369765,-9.117946668699542,NA,NA
Acropora_000122,-1.8915119922671224,-4.356898444849621,NA,NA
Acropora_000123,-12.220210667230887,-19.328653185836217,NA,NA
Acropora_000146,1.6203062188159707,10.589032192313054,NA,NA
Acropora_000148,-1.3447408974738126,-1.688981354356911,NA,NA
Acropora_000151,-3.956493653792234,-16.018293564369493,Tektin family,Function Unknown
Acropora_000152,-8.183198674187334,-19.355947014945972,NA,NA
Acropora_000154,-1.60136248985814,-2.680748171511945,NA,NA
Acropora_000158,-1.3312586969647509,-2.5987264407059834,NA,NA
Acropora_000160,-4.164040781893458,-4.950586322150358,NA,NA
Acropora_000165,-14.842346646454386,-7.400035805041971,NA,NA
Acropora_000166,3.168430953357094,5.392268377402282,NA,NA
Acropora_000180,1.924839878631845,1.8738663580766683,Rab guanyl-nucleotide exchange factor activity,Function Unknown
Acropora_000182,-1.2935745933446934,-1.7630449858614639,"PYM homolog 1, exon junction complex associated factor",Function Unknown
Acropora_000183,-1.2085750541863822,-2.3481967122915752,NA,NA
Acropora_000184,2.298454317173548,8.389993365460034,Cytochrome c oxidase subunit Va,Energy production and conversion
Acropora_000196,-2.2440123286131635,-5.946033124150825,NA,NA
Acropora_000197,-1.528690727685279,-1.4405450642432545,NA,NA
Acropora_000209,9.72407523605304,3.6229124658381973,NA,NA
Acropora_000218,1.0483480819208106,1.8571679998040087,May antagonize Nodal signaling and subsequent organization of axial structures during mesodermal patterning,Amino acid transport and metabolism
Acropora_000221,6.667670803879073,3.7847244402545974,acid phosphatase activity,Carbohydrate transport and metabolism
Acropora_000224,14.407663957612773,11.226063039969555,endopeptidase inhibitor activity,"Posttranslational modification, protein turnover, chaperones"
Acropora_000234,1.1710446577997775,1.1272847354593247,Erythrocyte membrane protein band 4.1 like 4A,Function Unknown
Acropora_000241,1.1951206967615013,4.226591111714211,Caspase domain,Signal transduction mechanisms
Acropora_000242,3.101039912449112,14.253739455840886,lymphoid tissue lymphoma translocation,Signal transduction mechanisms
Acropora_000243,5.4851942625170755,9.283339243742478,Belongs to the gluconokinase GntK GntV family,Carbohydrate transport and metabolism
Acropora_000257,-3.845522878913799,-5.399321186621217,frizzled binding,Cell wall/membrane/envelope biogenesis
Acropora_000261,-3.81510503665036,-2.496420996845418,zinc finger,Function Unknown
Acropora_000263,-4.1716273904791255,-11.801166617174308,Stimulated by retinoic acid gene 6 protein homolog,Transcription
Acropora_000264,-5.702606819161178,-1.6678445960864483,Belongs to the glycosyl hydrolase 18 family,Carbohydrate transport and metabolism
Acropora_000270,-1.4832961076409341,-4.954916185993152,zinc finger,"Replication, recombination and repair"
Acropora_000291,-1.2428833345308892,2.118213081650924,negative chemotaxis,Function Unknown
