"","pval","term","direction","color"
"12/113 structural constituent of ribosome",2.8207627144747e-05,"GO:0003735",0,"dodgerblue2"
"3/10 misfolded protein binding",0.0299510102075851,"GO:0051787",0,"skyblue2"
"16/121 microtubule binding",0.00283804737964615,"GO:0008017",1,"firebrick1"
"20/134 catalytic activity, acting on DNA",0.000761905143682572,"GO:0140097",1,"firebrick1"
"54/468 hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",0.0207492919359799,"GO:0017111;GO:0016462;GO:0016818;GO:0016817",1,"lightcoral"
"5/39 DNA helicase activity",0.0101263437709345,"GO:0003678",1,"lightcoral"
"10/100 helicase activity",0.000318087779546822,"GO:0004386;GO:0008026;GO:0070035",1,"firebrick1"
"7/54 DNA-dependent ATPase activity",0.00283804737964615,"GO:0008094",1,"firebrick1"
"37/295 ATPase activity",2.8207627144747e-05,"GO:0016887;GO:0042623",1,"firebrick1"
"36/290 chromatin binding",4.21599049215024e-05,"GO:0003682",1,"firebrick1"
"4/39 repressing transcription factor binding",0.0299510102075851,"GO:0070491",1,"lightcoral"
"46/320 regulatory region nucleic acid binding",0.025043050895317,"GO:0000976;GO:0044212;GO:1990837;GO:0001067;GO:0000977;GO:0001012",1,"lightcoral"
"55/384 sequence-specific DNA binding",0.00283804737964615,"GO:0003690;GO:0043565",1,"firebrick1"
