"","pval","term","direction","color"
"4/109 polytene chromosome",0.0158993226487559,"GO:0005700",0,"skyblue2"
"5/54 transcriptional repressor complex",0.0223340197089752,"GO:0017053",0,"skyblue2"
"2/19 nuclear transcriptional repressor complex",0.00766914629332336,"GO:0090568",0,"dodgerblue2"
"9/426 nuclear body",1.21053665402486e-05,"GO:0016604",0,"dodgerblue2"
"2/231 nuclear speck",2.53798874354285e-06,"GO:0016607",0,"dodgerblue2"
"1/13 RNA polymerase I complex",0.0255068188115301,"GO:0005736",1,"lightcoral"
"1/18 RNA polymerase III complex",0.0383903941149558,"GO:0005666",1,"lightcoral"
"13/666 nucleoplasm part",0.00165955146785845,"GO:0044451",0,"dodgerblue2"
"0/10 MCM complex",0.0062539899586778,"GO:0042555",1,"firebrick1"
"1/6 DNA replication preinitiation complex",0.0381422236068517,"GO:0031261",1,"lightcoral"
"2/25 nuclear replication fork",0.0421354593293915,"GO:0043596",1,"lightcoral"
"0/16 replisome",0.0299508471057216,"GO:0030894;GO:0043601",1,"lightcoral"
"2/53 replication fork",0.016792218276836,"GO:0005657",1,"lightcoral"
"0/6 alpha DNA polymerase:primase complex",0.0406290055987939,"GO:0005658",1,"lightcoral"
"0/53 small ribosomal subunit",0.00137393710248473,"GO:0015935",1,"firebrick1"
"0/32 cytosolic small ribosomal subunit",0.00375407834029687,"GO:0022627",1,"firebrick1"
"0/14 guanylate cyclase complex, soluble",0.022910142000507,"GO:0008074",0,"skyblue2"
"3/165 cytosolic part",0.00203683171676902,"GO:0044445",1,"firebrick1"
"0/20 polysomal ribosome",0.0199428015783934,"GO:0042788",1,"lightcoral"
"0/49 cytosolic large ribosomal subunit",5.50069242476755e-06,"GO:0022625",1,"firebrick1"
"1/151 ribosome",5.50434504366453e-08,"GO:0005840;GO:0044391",1,"firebrick1"
"0/81 large ribosomal subunit",3.02248949659621e-06,"GO:0015934",1,"firebrick1"
"0/87 cytosolic ribosome",8.62662579995538e-08,"GO:0022626",1,"firebrick1"
"0/13 cytoplasmic side of rough endoplasmic reticulum membrane",0.0215248127491893,"GO:0098556",1,"lightcoral"
"0/10 proton-transporting two-sector ATPase complex, proton-transporting domain",0.0133491932161693,"GO:0033177",1,"lightcoral"
"0/11 mitochondrial proton-transporting ATP synthase complex",0.0229809593800713,"GO:0005753;GO:0045259",1,"lightcoral"
"0/29 proton-transporting two-sector ATPase complex",0.00852757484422437,"GO:0016469",1,"firebrick1"
"0/68 oxidoreductase complex",3.30959907918582e-08,"GO:1990204",1,"firebrick1"
"9/291 organelle inner membrane",1.0510734465048e-15,"GO:0019866;GO:0005743",1,"firebrick1"
"0/21 intrinsic component of mitochondrial inner membrane",0.0182797636028938,"GO:0031304;GO:0031305",1,"lightcoral"
"21/685 organelle envelope",9.07553460939728e-09,"GO:0031967;GO:0031975",1,"firebrick1"
"0/25 mitochondrial respiratory chain complex I",0.000190082266804077,"GO:0005747;GO:0045271;GO:0030964",1,"firebrick1"
"15/413 mitochondrial envelope",5.30066579752157e-15,"GO:0005740;GO:0031966",1,"firebrick1"
"0/44 respirasome",1.44883728071791e-07,"GO:0005746;GO:0070469;GO:0098803",1,"firebrick1"
"3/124 mitochondrial membrane part",6.80616101981435e-14,"GO:0044455",1,"firebrick1"
"0/75 inner mitochondrial membrane protein complex",8.62063037737749e-09,"GO:0098800",1,"firebrick1"
"1/24 mitochondrial nucleoid",0.00375407834029687,"GO:0009295;GO:0042645",1,"firebrick1"
"0/165 mitochondrial protein complex",2.07791861116292e-13,"GO:0098798",1,"firebrick1"
"18/596 mitochondrial part",1.0000003497872e-15,"GO:0044429",1,"firebrick1"
"0/54 organellar ribosome",0.0230548008544892,"GO:0000313;GO:0005761",1,"lightcoral"
"4/297 mitochondrial matrix",1.98025122634824e-12,"GO:0005759",1,"firebrick1"
"21/695 endoplasmic reticulum part",0.0145977611354341,"GO:0044432;GO:0005789;GO:0042175;GO:0098827",1,"lightcoral"
"7/248 intrinsic component of organelle membrane",0.0159720185977768,"GO:0031301;GO:0031300",1,"lightcoral"
"2/42 intrinsic component of mitochondrial membrane",0.00418334173715404,"GO:0098573;GO:0032592",1,"firebrick1"
"4/110 vacuolar lumen",0.0319003931009722,"GO:0005775",1,"lightcoral"
"6/275 vacuolar part",0.0282399427114481,"GO:0044437",1,"lightcoral"
"1/26 photoreceptor inner segment",0.0145977611354341,"GO:0001917",0,"skyblue2"
"1/113 non-motile cilium",6.88312231873418e-05,"GO:0097730",0,"dodgerblue2"
"1/59 photoreceptor cell cilium",0.0159720185977768,"GO:0097731;GO:0097733",0,"skyblue2"
"6/117 sperm part",0.0421354593293915,"GO:0097223",0,"skyblue2"
"3/85 9+2 motile cilium",0.022910142000507,"GO:0036126;GO:0097729",0,"skyblue2"
"10/420 cilium",2.75452834951278e-13,"GO:0005929;GO:0044441",0,"dodgerblue2"
"3/123 motile cilium",0.000133448250905717,"GO:0031514",0,"dodgerblue2"
