"","pval","term","direction","color"
"8/58 positive regulation of mRNA metabolic process",0.00929710390095552,"GO:1903313",0,"dodgerblue2"
"18/182 regulation of mRNA metabolic process",0.0165792653347522,"GO:1903311",0,"skyblue2"
"4/28 regulation of mRNA 3'-end processing",0.0111900816038159,"GO:0031440",0,"skyblue2"
"9/109 regulation of mRNA processing",0.00647347918271469,"GO:0050684",0,"dodgerblue2"
"51/614 regulation of immune system process",0.0103347936794373,"GO:0002682",0,"skyblue2"
"1/8 positive regulation of RIG-I signaling pathway",0.0336104213570093,"GO:1900246",0,"skyblue2"
"42/524 regulation of response to external stimulus",0.00124458329265228,"GO:0032101",0,"dodgerblue2"
"21/230 regulation of response to biotic stimulus",0.0279645760069217,"GO:0045088;GO:0002831",0,"skyblue2"
"6/33 negative regulation of viral process",0.00426845901674486,"GO:1903901;GO:0048525",0,"dodgerblue2"
"2/17 negative regulation of viral genome replication",0.0462764588950334,"GO:0045071",0,"skyblue2"
"33/407 regulation of multi-organism process",0.000195667799982927,"GO:0043900",0,"dodgerblue2"
"10/127 negative regulation of multi-organism process",0.00729911694988713,"GO:0043901",0,"dodgerblue2"
"11/98 regulation of viral process",0.000764380702591759,"GO:1903900;GO:0050792",0,"dodgerblue2"
"12/128 regulation of symbiosis, encompassing mutualism through parasitism",0.000876384192216625,"GO:0043903",0,"dodgerblue2"
"5/54 regulation of viral genome replication",0.0205254056878025,"GO:0045069",0,"skyblue2"
"5/44 interaction with symbiont",0.0206686328953034,"GO:0051702;GO:0051851",0,"skyblue2"
"3/19 regulation of viral transcription",0.0130746918933758,"GO:0046782;GO:0043921;GO:0052472;GO:0052312",0,"skyblue2"
"2/14 positive regulation of viral transcription",0.0407551893628998,"GO:0050434",0,"skyblue2"
"6/60 positive regulation of viral process",0.0418492998658932,"GO:0048524;GO:1903902",0,"skyblue2"
"27/238 positive regulation of multi-organism process",0.00929710390095552,"GO:0043902",0,"dodgerblue2"
"2/10 positive regulation by host of viral transcription",0.044217051391042,"GO:0043923",0,"skyblue2"
"10/122 endoplasmic reticulum to Golgi vesicle-mediated transport",0.036093732113103,"GO:0006888",1,"lightcoral"
"1/7 Wnt protein secretion",0.035532857948084,"GO:0061355",1,"lightcoral"
"22/169 cell surface receptor signaling pathway involved in cell-cell signaling",0.0233278765019498,"GO:1905114;GO:0016055;GO:0198738",0,"skyblue2"
"2/38 regulation of Rho protein signal transduction",0.0124484303961813,"GO:0035023",0,"skyblue2"
"2/12 positive regulation of Rho protein signal transduction",0.0237921744265962,"GO:0035025",0,"skyblue2"
"3/40 positive regulation of receptor-mediated endocytosis",0.0365726983096832,"GO:0048260",0,"skyblue2"
"8/67 response to osmotic stress",0.0453402037488711,"GO:0006970",0,"skyblue2"
"8/143 positive regulation of mitotic cell cycle",0.0207299612607535,"GO:0045931",0,"skyblue2"
"30/485 regulation of mitotic cell cycle",0.00103346472736657,"GO:0007346",0,"dodgerblue2"
"3/21 positive regulation of cell cycle G2/M phase transition",0.0407551893628998,"GO:0010971;GO:1902751",0,"skyblue2"
"7/77 positive regulation of cell cycle phase transition",0.0048436555476486,"GO:1901992;GO:1901989",0,"dodgerblue2"
"34/498 regulation of cell cycle process",0.00134282972117563,"GO:0010564",0,"dodgerblue2"
"16/203 positive regulation of cell cycle process",0.000552130640974506,"GO:0090068",0,"dodgerblue2"
"22/293 positive regulation of cell cycle",0.000876384192216625,"GO:0045787",0,"dodgerblue2"
"2/33 positive regulation of chromosome segregation",0.0410981599472967,"GO:0051984",0,"skyblue2"
"15/341 negative regulation of cell cycle",0.00163582043402869,"GO:0045786",0,"dodgerblue2"
"6/52 negative regulation of G1/S transition of mitotic cell cycle",0.0462764588950334,"GO:2000134;GO:1902807",0,"skyblue2"
"21/279 regulation of cell cycle phase transition",0.0178887831673807,"GO:1901990;GO:1901987",0,"skyblue2"
"13/104 regulation of cell cycle G1/S phase transition",0.00322261358576942,"GO:2000045;GO:1902806",0,"dodgerblue2"
"7/23 response to insecticide",0.0366667194733826,"GO:0017085",0,"skyblue2"
"3/5 response to DDT",0.00985232433370392,"GO:0046680",0,"dodgerblue2"
"9/115 peptidyl-serine modification",0.0150434837713595,"GO:0018105;GO:0018209",0,"skyblue2"
"37/464 protein phosphorylation",0.00239241373610304,"GO:0006468",0,"dodgerblue2"
"8/135 protein autophosphorylation",0.0205254056878025,"GO:0046777",0,"skyblue2"
"2/32 leukocyte homeostasis",0.0142905029656892,"GO:0001776;GO:0002260",0,"skyblue2"
"49/703 intracellular signal transduction",0.00927784669810054,"GO:0035556",0,"dodgerblue2"
"7/66 signal transduction by p53 class mediator",0.0098722054922349,"GO:0072331",0,"dodgerblue2"
"10/157 positive regulation of chromosome organization",0.00529229291665312,"GO:2001252",0,"dodgerblue2"
"21/408 positive regulation of organelle organization",0.0007232846517571,"GO:0010638",0,"dodgerblue2"
"7/95 positive regulation of chromatin organization",0.0161984111664136,"GO:0031058;GO:1905269",0,"skyblue2"
"15/300 regulation of chromosome organization",0.00691502017224301,"GO:0033044",0,"dodgerblue2"
"10/155 regulation of chromatin organization",0.00623217574277342,"GO:0031056;GO:1902275",0,"dodgerblue2"
"3/59 regulation of histone methylation",0.0119690355027278,"GO:0031060",0,"skyblue2"
"1/12 heterochromatin organization involved in chromatin silencing",0.00683137897494407,"GO:0070868",0,"dodgerblue2"
"50/452 negative regulation of transcription by RNA polymerase II",2.1326002884381e-07,"GO:0000122",0,"dodgerblue2"
"64/697 negative regulation of RNA metabolic process",2.02029034622513e-10,"GO:0045892;GO:1903507;GO:1902679;GO:0051253",0,"dodgerblue2"
"2/12 chromatin silencing at rDNA",0.0498927162018842,"GO:0000183",0,"skyblue2"
"8/152 gene silencing",0.0219840856515703,"GO:0016458",0,"skyblue2"
"6/67 smoothened signaling pathway",0.0417460843667543,"GO:0007224",0,"skyblue2"
"12/163 regulation of microtubule-based process",0.0318998563963118,"GO:0032886;GO:0070507",0,"skyblue2"
"2/20 regulation of microtubule depolymerization",0.00993781934411077,"GO:0031114",0,"dodgerblue2"
"1/14 negative regulation of microtubule depolymerization",0.0087301550080863,"GO:0007026",0,"dodgerblue2"
"7/50 regulation of microtubule polymerization or depolymerization",0.0240644039546414,"GO:0031110",0,"skyblue2"
"1/8 regulation of microtubule binding",0.0433807111020581,"GO:1904526;GO:1904528",0,"skyblue2"
"5/69 regulation of actomyosin structure organization",0.0352878073353573,"GO:0032231;GO:0051492;GO:0110020",0,"skyblue2"
"39/635 regulation of cellular component biogenesis",0.00787397638017489,"GO:0044087",0,"dodgerblue2"
"15/315 positive regulation of cellular component biogenesis",0.00315731298567982,"GO:0044089",0,"dodgerblue2"
"21/341 cell projection assembly",0.00035861010604596,"GO:0030031;GO:0044782;GO:0060271;GO:0120031",0,"dodgerblue2"
"27/587 organelle assembly",0.0159644353474654,"GO:0070925",0,"skyblue2"
"0/28 axonemal dynein complex assembly",0.044217051391042,"GO:0070286",0,"skyblue2"
"40/703 cytoskeleton organization",1.8460380576512e-06,"GO:0007010",0,"dodgerblue2"
"22/404 microtubule cytoskeleton organization",9.95342160764594e-07,"GO:0000226",0,"dodgerblue2"
"5/90 microtubule bundle formation",6.97496059728646e-05,"GO:0001578;GO:0035082",0,"dodgerblue2"
"9/218 microtubule-based movement",0.00237202903294025,"GO:0007018",0,"dodgerblue2"
"3/61 cilium movement",0.0137263019076383,"GO:0003341",0,"skyblue2"
"30/544 microtubule-based process",1.00869640963313e-06,"GO:0007017",0,"dodgerblue2"
"8/137 microtubule cytoskeleton organization involved in mitosis",0.0133969963421378,"GO:1902850",0,"skyblue2"
"7/157 spindle organization",0.00391926406772247,"GO:0007051",0,"dodgerblue2"
"4/93 mitotic spindle organization",0.0118170879011838,"GO:0007052",0,"skyblue2"
"38/685 chromosome organization",0.0130297797548292,"GO:0051276",0,"skyblue2"
"0/11 attachment of mitotic spindle microtubules to kinetochore",0.033028994373734,"GO:0051315",0,"skyblue2"
"5/143 mitotic nuclear division",0.0414566212671821,"GO:0140014",0,"skyblue2"
"34/596 mitotic cell cycle",0.00623217574277342,"GO:1903047;GO:0000278",0,"dodgerblue2"
"10/110 circadian rhythm",0.0128318405177135,"GO:0007623",0,"skyblue2"
"17/156 rhythmic process",0.000646377551400095,"GO:0048511",0,"dodgerblue2"
"23/136 cellular response to inorganic substance",0.000200071048665792,"GO:0071241;GO:0071248",0,"dodgerblue2"
"9/75 response to calcium ion",0.0148689867960474,"GO:0051592",0,"skyblue2"
"2/33 cellular response to calcium ion",0.00286912177728596,"GO:0071277",0,"dodgerblue2"
