"","pval","term","direction","color"
"2/12 TRAPP complex",0.018236804683086,"GO:0030008",1,"lightcoral"
"2/51 endopeptidase complex",0.0499211973044706,"GO:0000502;GO:1905369",1,"lightcoral"
"2/69 peptidase complex",0.00559545522418015,"GO:1905368",1,"firebrick1"
"2/13 RNA polymerase I complex",0.0238010584457338,"GO:0005736",1,"lightcoral"
"21/190 transcription factor complex",0.0499211973044706,"GO:0005667",0,"skyblue2"
"24/666 nucleoplasm part",0.00013904372711099,"GO:0044451",0,"dodgerblue2"
"15/426 nuclear body",7.20825267933919e-07,"GO:0016604",0,"dodgerblue2"
"10/231 nuclear speck",7.05238298988559e-08,"GO:0016607",0,"dodgerblue2"
"6/54 transcriptional repressor complex",0.0365555859566343,"GO:0017053",0,"skyblue2"
"1/19 nuclear transcriptional repressor complex",0.0108250134388743,"GO:0090568",0,"skyblue2"
"7/109 polytene chromosome",0.0152004605937288,"GO:0005700",0,"skyblue2"
"28/341 chromatin",0.000147726006912031,"GO:0000785",0,"dodgerblue2"
"42/650 chromosome",0.000110949511930629,"GO:0005694;GO:0044427",0,"dodgerblue2"
"28/348 nuclear chromosome",0.0181784047959938,"GO:0000228;GO:0044454",0,"skyblue2"
"2/12 condensed nuclear chromosome kinetochore",0.0456235375463766,"GO:0000778",0,"skyblue2"
"3/63 cell cortex region",0.0499211973044706,"GO:0045179;GO:0099738",0,"skyblue2"
"22/348 cytoplasmic region",0.0365555859566343,"GO:0099568",0,"skyblue2"
"8/133 plasma membrane bounded cell projection cytoplasm",0.0100235952089826,"GO:0005930;GO:0032838;GO:0097014",0,"skyblue2"
"2/34 axoneme part",0.00294151310600367,"GO:0044447",0,"dodgerblue2"
"1/42 kinesin complex",0.0049497774459007,"GO:0005871",0,"dodgerblue2"
"4/116 microtubule associated complex",0.00684006066254319,"GO:0005875",0,"dodgerblue2"
"43/701 microtubule cytoskeleton",1.4221620848973e-07,"GO:0015630",0,"dodgerblue2"
"9/99 spindle pole",0.0455496540692636,"GO:0000922",0,"skyblue2"
"17/223 spindle",0.0291796220392172,"GO:0005819",0,"skyblue2"
"17/439 microtubule organizing center",1.3500360568522e-06,"GO:0005813;GO:0005815",0,"dodgerblue2"
"6/104 ciliary basal body",0.010851836036246,"GO:0036064",0,"skyblue2"
"2/26 photoreceptor inner segment",0.0108250134388743,"GO:0001917",0,"skyblue2"
"2/59 photoreceptor cell cilium",0.0192800968973169,"GO:0097731;GO:0097733",0,"skyblue2"
"7/113 non-motile cilium",3.72018410836202e-05,"GO:0097730",0,"dodgerblue2"
"35/420 cilium",5.53524638900383e-08,"GO:0005929;GO:0044441",0,"dodgerblue2"
"1/28 photoreceptor connecting cilium",0.0379719311788796,"GO:0032391",0,"skyblue2"
"2/16 messenger ribonucleoprotein complex",0.0252725718642652,"GO:1990124",0,"skyblue2"
"10/78 apical junction complex",0.0170321083586393,"GO:0070160;GO:0043296",0,"skyblue2"
"26/323 cell junction",0.000471843828319525,"GO:0030054",0,"dodgerblue2"
"17/199 cell-cell junction",1.08225945949583e-06,"GO:0005911",0,"dodgerblue2"
"3/40 cell-cell adherens junction",0.0108250134388743,"GO:0005913",0,"skyblue2"
"7/92 lamellipodium",0.037046659411343,"GO:0030027",0,"skyblue2"
"22/214 cell leading edge",0.0370113892503898,"GO:0031252",0,"skyblue2"
"24/206 apical plasma membrane",0.0173759534306926,"GO:0016324",0,"skyblue2"
"58/547 plasma membrane region",0.00300313845665046,"GO:0098590",0,"dodgerblue2"
"8/65 perikaryon",0.00680518090014274,"GO:0043204",0,"dodgerblue2"
"5/16 paranode region of axon",0.00239987132394928,"GO:0033270;GO:0044224",0,"dodgerblue2"
"41/422 axon",0.00292827150645399,"GO:0030424",0,"dodgerblue2"
"30/259 axon part",0.0131742215508226,"GO:0033267;GO:0150034",0,"skyblue2"
"12/118 neuron projection terminus",0.0281479670328013,"GO:0043679;GO:0044306",0,"skyblue2"
"35/282 presynapse",0.0322742220276857,"GO:0098793",0,"skyblue2"
"9/35 neuronal cell body membrane",0.00119382473812836,"GO:0032809;GO:0044298",0,"dodgerblue2"
"49/470 cell body",0.0152004605937288,"GO:0043025;GO:0044297",0,"skyblue2"
"17/110 neuron spine",0.00559545522418015,"GO:0043197;GO:0044309",0,"dodgerblue2"
"53/393 dendritic tree",0.0258323771053198,"GO:0030425;GO:0097447",0,"skyblue2"
"66/569 somatodendritic compartment",0.0474820015213919,"GO:0036477",0,"skyblue2"
"27/228 postsynapse",0.00393739930828473,"GO:0098794",0,"dodgerblue2"
"4/8 postsynaptic cytosol",0.00359885239433617,"GO:0099522;GO:0099524",0,"dodgerblue2"
"5/15 intrinsic component of synaptic membrane",0.00365988605405834,"GO:0099240;GO:0098936;GO:0099055;GO:0099699",0,"dodgerblue2"
"3/10 integral component of presynaptic membrane",0.000643817296538814,"GO:0046691;GO:0098889;GO:0099056",0,"dodgerblue2"
"18/133 neuron to neuron synapse",0.000377053710361608,"GO:0032279;GO:0098984;GO:0014069;GO:0099572",0,"dodgerblue2"
"54/523 synapse",6.1384185529825e-05,"GO:0045202;GO:0044456",0,"dodgerblue2"
"12/87 postsynaptic membrane",0.00777250604592663,"GO:0045211",0,"dodgerblue2"
"19/138 synaptic membrane",0.0499211973044706,"GO:0097060",0,"skyblue2"
"42/286 cell surface",0.0102197764689962,"GO:0009986",0,"skyblue2"
"85/556 intrinsic component of plasma membrane",0.00684006066254319,"GO:0005887;GO:0031226",0,"dodgerblue2"
"7/25 potassium channel complex",0.0108250134388743,"GO:0008076;GO:0034705",0,"skyblue2"
"5/70 lysosomal lumen",0.0153531370071537,"GO:0043202",1,"lightcoral"
"26/427 vacuole",0.0265929926946995,"GO:0000323;GO:0005773;GO:0005764",1,"lightcoral"
"7/110 vacuolar lumen",0.00684006066254319,"GO:0005775",1,"firebrick1"
"7/69 endoplasmic reticulum-Golgi intermediate compartment",0.0291796220392172,"GO:0005793",1,"lightcoral"
"12/95 transport vesicle membrane",0.0424426273226859,"GO:0030658",1,"lightcoral"
"4/31 vesicle coat",0.00469722841251583,"GO:0030120",1,"firebrick1"
"7/101 Golgi-associated vesicle",0.0311837670310434,"GO:0005798",1,"lightcoral"
"4/49 Golgi-associated vesicle membrane",0.0416199439500255,"GO:0030660",1,"lightcoral"
