Species,Genotype,Sample ID,Date Sampled,Experiment phase,Treatment,RNA Qubit Date,Qubit RNA Sample Input Quantity (uL),RNA Broad Range Qubit Concentration (ng/uL),Nanodrop Date (RNA only),A-260,A-280,260/280,260/230,Nanodrop RNA concentration (ng/uL),File Sample Name,% GC,Average Read Length,Median Read Length,% Failed,Raw Reads (Million),Trimmed Reads (Million),Mapping Rate,,,,,,,,
Acer,SI-C,5,3/22/22,Pre-treatment,control,12/1/22,5,35.6,1/4/23,0.978,0.474,2.06,0.59,39.11,Acer-005_S23_L001_R1_001,44%,99 bp,100 bp,36%,11.4,,66.15%,,,,,,,,
Acer,BC-8b,9,3/22/22,Pre-treatment,variable,1/6/23,2,90.1,1/6/23,2.616,1.23,2.13,1.99,104.6,Acer-009_S24_L001_R1_001,44%,99 bp,100 bp,36%,12.8,,72.49%,,,,,,,,
Acer,BC-8b,19,3/22/22,Pre-treatment,variable,1/6/23,2,118,1/6/23,3.189,1.5,2.13,1.22,127.6,Acer-019_S25_L001_R1_001,46%,99 bp,100 bp,36%,13,,71.02%,,,,,,,,
Acer,MB-B,21,3/22/22,Pre-treatment,variable,,,,1/12/23,1.838,0.864,2.13,1.94,73.52,Acer-021_S26_L001_R1_001,46%,99 bp,100 bp,36%,11.4,,63.15%,,,,,,,,
Acer,BC-8b,22,3/22/22,Pre-treatment,control,1/6/23,2,134,1/6/23,3.784,1.778,2.13,2.04,151.3,Acer-022_S27_L001_R1_001,46%,99 bp,100 bp,36%,13.3,,64.10%,,,,,,,,
Acer,SI-C,29,3/22/22,Pre-treatment,variable,1/6/23,2,140,1/6/23,3.668,1.71,2.15,2.09,146.7,Acer-029_S28_L001_R1_001,45%,99 bp,100 bp,36%,11.4,,64.01%,,,,,,,,
Acer,BC-8b,30,4/20/22,last day of treatment,variable,12/1/22,5,128,1/4/23,3.046,1.439,12.12,2,121.9,Acer-030_S29_L001_R1_001,45%,99 bp,100 bp,36%,12.4,,72.68%,,,,,,,,
Acer,SI-C,34,3/22/22,Pre-treatment,control,12/1/22,5,137,1/4/23,3.174,1.487,2.13,2,127,Acer-034_S30_L001_R1_001,42%,99 bp,100 bp,36%,14.4,,65.99%,,,,,,,,
Acer,MB-B,38,4/20/22,last day of treatment,variable,,,,1/12/23,1.022,0.495,2.07,1.73,40.9,Acer-038_S31_L001_R1_001,44%,98 bp,100 bp,36%,10.7,,75.24%,,,,,,,,
Acer,MB-B,41,4/20/22,last day of treatment,variable,12/1/22,5,91.2,1/4/23,2.823,1.425,1.98,1.61,112.9,Acer-041_S32_L001_R1_001,45%,98 bp,100 bp,36%,12.7,,72.29%,,,,,,,,
Acer,MB-B,42,3/22/22,Pre-treatment,control,1/6/23,2,102,1/6/23,2.586,1.218,2.12,1.87,103.4,Acer-042_S33_L001_R1_001,45%,99 bp,100 bp,36%,13.6,,66.67%,,,,,,,,
Acer,BC-8b,43,3/22/22,Pre-treatment,control,1/6/23,2,129,1/6/23,3.113,1.444,2.16,1.82,124.5,Acer-043_S34_L001_R1_001,46%,99 bp,100 bp,36%,12.8,,70.14%,,,,,,,,
Acer,BC-8b,45,3/22/22,Pre-treatment,variable,,,,1/12/23,1.658,0.801,2.07,1.89,66.33,Acer-045_S35_L001_R1_001,45%,99 bp,100 bp,36%,13.9,,56.77%,,,,,,,,
Acer,MB-B,55,3/22/22,Pre-treatment,variable,1/6/23,2,89.6,1/6/23,2.1,0.9801,2.14,1.97,84.01,Acer-055_S36_L001_R1_001,43%,99 bp,100 bp,36%,11.5,,70.14%,,,,,,,,
Acer,MB-B,56,4/20/22,last day of treatment,control,,,,1/12/23,0.85,0.411,2.07,1.72,34.02,Acer-056_S37_L001_R1_001,42%,97 bp,100 bp,36%,15.2,,73.53%,,,,,,,,
Acer,MB-B,57,4/20/22,last day of treatment,control,,,,1/12/23,0.9,0.44,2.05,1.77,36.01,Acer-057_S38_L001_R1_001,43%,97 bp,100 bp,45%,11.7,,71.77%,,,,,,,,
Acer,MB-B,59,4/20/22,last day of treatment,variable,,,,1/12/23,1.118,0.537,2.08,1.7,44.73,Acer-059_S39_L001_R1_001,45%,97 bp,100 bp,36%,11.5,,72.81%,,,,,,,,
Acer,BC-8b,63,3/22/22,Pre-treatment,control,1/6/23,2,160,1/6/23,3.563,1.664,2.14,2.08,142.5,Acer-063_S40_L001_R1_001,45%,99 bp,100 bp,36%,13.4,,64.17%,,,,,,,,
Acer,SI-C,64,3/22/22,Pre-treatment,variable,1/6/23,2,52.2,1/6/23,1.392,0.657,2.12,1.84,55.67,Acer-064_S41_L001_R1_001,46%,99 bp,100 bp,36%,13.2,,65.42%,,,,,,,,
Acer,BC-8b,68,4/20/22,last day of treatment,variable,,,,1/12/23,0.949,0.456,2.08,1.73,37.97,Acer-068_S42_L001_R1_001,44%,97 bp,100 bp,36%,7.4,,60.11%,,,,,,,,
Acer,SI-C,69,4/20/22,last day of treatment,variable,,,,1/12/23,0.825,0.393,2.1,1.66,33.01,Acer-069_S43_L001_R1_001,46%,97 bp,100 bp,45%,10.9,,59.77%,,,,,,,,
Acer,BC-8b,72,4/20/22,last day of treatment,control,,,,1/12/23,1.15,0.556,2.07,1.78,46,Acer-072_S44_L001_R1_001,44%,95 bp,100 bp,36%,4.1,,54.05%,,,,,,,,
Acer,MB-B,74,4/20/22,last day of treatment,variable,,,,1/12/23,1.081,0.524,2.06,1.83,43.23,Acer-074_S45_L001_R1_001,47%,97 bp,100 bp,36%,8.7,,69.03%,,,,,,,,
Acer,SI-C,78,3/22/22,Pre-treatment,control,12/1/22,5,154,1/4/23,4.411,2.069,2.13,2.12,176.4,Acer-078_S46_L001_R1_001,46%,99 bp,100 bp,36%,12.4,,57.26%,,,,,,,,
Acer,SI-C,79,3/22/22,Pre-treatment,variable,,,,1/12/23,1.404,0.675,2.08,1.79,56.15,Acer-079_S47_L001_R1_001,43%,98 bp,100 bp,36%,8.5,,55.52%,,,,,,,,
Acer,SI-C,82,4/20/22,last day of treatment,control,,,,1/12/23,0.589,0.295,1.99,1.57,23.58,Acer-082_S48_L001_R1_001,45%,98 bp,100 bp,36%,8,,69.40%,,,,,,,,
Acer,MB-B,83,3/22/22,Pre-treatment,variable,1/6/23,2,117,1/6/23,2.921,1.376,2.12,1.96,116.8,Acer-083_S49_L001_R1_001,48%,99 bp,100 bp,36%,10.5,,70.76%,,,,,,,,
Acer,BC-8b,89,4/20/22,last day of treatment,control,12/1/22,5,87.2,1/4/23,1.859,0.902,2.06,1.96,74.37,Acer-089_S50_L001_R1_001,45%,96 bp,100 bp,36%,5.5,,45.76%,,,,,,,,
Acer,BC-8b,91,4/20/22,last day of treatment,variable,,,,1/12/23,1.025,0.495,2.07,1.83,40.99,Acer-091_S51_L001_R1_001,46%,98 bp,100 bp,36%,9,,61.51%,,,,,,,,
Acer,MB-B,94,3/22/22,Pre-treatment,variable,1/6/23,2,136,1/6/23,3.524,1.646,2.14,2.01,140.9,Acer-094_S52_L001_R1_001,46%,99 bp,100 bp,36%,12.2,,63.25%,,,,,,,,
Acer,SI-C,95,3/22/22,Pre-treatment,control,1/6/23,2,98.6,1/6/23,2.187,1.026,2.13,1.85,87.47,Acer-095_S53_L001_R1_001,44%,99 bp,100 bp,36%,11.2,,63.56%,,,,,,,,
Acer,SI-C,96,4/20/22,last day of treatment,variable,12/1/22,5,23.9,1/4/23,0.4339,0.2158,2.01,1.81,17.36,Acer-096_S54_L001_R1_001,43%,98 bp,100 bp,36%,10.9,,70.35%,,,,,,,,
Acer,MB-B,97,4/20/22,last day of treatment,control,,,,1/12/23,1.078,0.51,2.12,1.77,43.13,Acer-097_S55_L001_R1_001,45%,98 bp,100 bp,36%,8.8,,76.29%,,,,,,,,
Acer,MB-B,102,3/22/22,Pre-treatment,control,12/1/22,5,107,1/4/23,2.573,1.208,2.13,1.87,102.9,Acer-102_S56_L001_R1_001,45%,100 bp,100 bp,36%,10.6,,70.64%,,,,,,,,
Acer,SI-C,106,4/20/22,last day of treatment,control,12/1/22,5,109,1/4/23,2.791,1.322,2.11,2.01,111.6,Acer-106_S57_L001_R1_001,45%,99 bp,100 bp,36%,11.1,,67.55%,,,,,,,,
Acer,BC-8b,108,4/20/22,last day of treatment,control,,,,1/12/23,0.807,0.391,2.07,1.86,32.3,Acer-108_S58_L001_R1_001,46%,98 bp,100 bp,36%,5.7,,67.34%,,,,,,,,
