"","pval","term","direction","color"
"3/13 leak channel activity",0.0347866291540181,"GO:0022840;GO:0022842;GO:0022841",0,"skyblue2"
"14/122 gated channel activity",7.25600675447121e-05,"GO:0022839;GO:0022836",0,"dodgerblue2"
"10/65 ligand-gated channel activity",0.0159038807142247,"GO:0015276;GO:0022834",0,"skyblue2"
"3/8 extracellularly glutamate-gated ion channel activity",0.00602206729087331,"GO:0005234;GO:0008068",0,"dodgerblue2"
"4/19 excitatory extracellular ligand-gated ion channel activity",0.0159038807142247,"GO:0005231",0,"skyblue2"
"19/176 passive transmembrane transporter activity",8.42375221215215e-06,"GO:0005216;GO:0015267;GO:0022803;GO:0005261",0,"dodgerblue2"
"5/30 extracellular ligand-gated ion channel activity",0.0305435420981449,"GO:0005230",0,"skyblue2"
"1/5 acetylcholine-gated cation-selective channel activity",0.0240628086268047,"GO:0022848",0,"skyblue2"
"6/43 ligand-gated cation channel activity",0.0442385186326894,"GO:0099094",0,"skyblue2"
"1/11 voltage-gated sodium channel activity",0.0244678186955074,"GO:0005248",0,"skyblue2"
"15/201 metal ion transmembrane transporter activity",0.0166662274398264,"GO:0046873",0,"skyblue2"
"3/15 outward rectifier potassium channel activity",0.00722188169218866,"GO:0015271",0,"dodgerblue2"
"2/9 delayed rectifier potassium channel activity",0.0215293204441295,"GO:0005251;GO:0086008;GO:0086087;GO:0086089;GO:0086090",0,"skyblue2"
"7/61 voltage-gated channel activity",0.000193674739741327,"GO:0005244;GO:0022832;GO:0022843",0,"dodgerblue2"
"4/25 voltage-gated potassium channel activity",0.00284245601590748,"GO:0005249",0,"dodgerblue2"
"7/38 potassium channel activity",0.000416030619973527,"GO:0005267",0,"dodgerblue2"
"7/61 potassium ion transmembrane transporter activity",0.0121714026998621,"GO:0015079",0,"skyblue2"
"2/23 actinin binding",0.00914351571036843,"GO:0042805;GO:0051393",0,"dodgerblue2"
"21/606 signaling receptor binding",0.000193674739741327,"GO:0005102",0,"dodgerblue2"
"3/28 channel inhibitor activity",0.0426877855173439,"GO:0008200;GO:0016248",0,"skyblue2"
"2/12 potassium channel inhibitor activity",0.0218548719612255,"GO:0019870",0,"skyblue2"
"0/69 Rho GTPase binding",0.03562379203532,"GO:0017048",0,"skyblue2"
"3/61 calmodulin binding",0.0201101485530963,"GO:0005516",0,"skyblue2"
"8/417 kinase activity",0.0215293204441295,"GO:0016301;GO:0016773",0,"skyblue2"
"6/306 protein kinase activity",0.0086798407336479,"GO:0004672",0,"dodgerblue2"
"4/213 protein serine/threonine kinase activity",0.0126963846251354,"GO:0004674",0,"skyblue2"
"0/59 SH3 domain binding",0.0215293204441295,"GO:0017124",0,"skyblue2"
