name	term	lev	seq	value
"morphogen activity"	GO:0016015	2	Pseudodiploria189202	-0.883212390445036
"morphogen activity"	GO:0016015	2	Pseudodiploria181566	-0.84352508406211
"morphogen activity"	GO:0016015	2	Pseudodiploria191393	-0.273756102918393
"morphogen activity"	GO:0016015	2	Pseudodiploria187919	0.826349893886164
"morphogen activity"	GO:0016015	2	Pseudodiploria203672	0.290063609157991
"morphogen activity"	GO:0016015	2	Pseudodiploria185535	0.0912047501523276
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria205398	0.119836699903748
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria199302	-0.227604280091979
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria169626	-0.250577733734025
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria67714	0.710523769439271
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria200550	0.664230061280041
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria198226	-0.0103257766136807
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria181771	0.558123158709692
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria200376	0.12859511325743
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria193892	0.360677929400151
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria201974	-0.216271845753546
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria171196	0.390334020569968
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria201060	-0.194303141286764
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria188473	-0.688128741172354
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria169154	-0.143226236661658
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria196112	0.666084974810169
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria188008	0.334523695642423
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria200682	-0.0506451505335544
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria203530	-0.203617948732715
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria200818	-0.0223884481126129
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria203589	0.307379143421548
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria200402	-0.127957407886736
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria190848	-0.184187294412477
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria185917	0.751043309171774
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria183659	0.801307702047347
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria188536	0.0248660635705026
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria205321	-0.276538931902512
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria193103	0.267326826682649
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria179800	0.141558115860636
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria192851	0.109751407898704
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria189200	0.104966023926417
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria195079	-0.424769145052876
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria198771	-0.355975665208172
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria191480	0.517860386066437
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria197499	-0.580716627954891
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria199306	0.251998120702341
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria197161	-0.278498651055281
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria201685	0.198928559277937
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria192162	-0.000523280512996009
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria169558	0.109102402040087
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria202323	-0.283496340672686
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria197870	0.141422652279896
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria193181	-0.138599574458297
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria195906	0.384063394207457
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria189190	-0.607363265764373
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria172482	0.369683377889037
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria196021	0.18546495362929
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria176654	-0.143283589335574
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria199702	0.205104324007553
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria191148	0.0218854084192615
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria197036	0.303647079417677
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria195180	-0.757116754333137
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria182881	-0.18561007969543
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria183465	-0.451314120047883
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria179456	0.72452417173719
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria185884	0.2194221896854
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria197466	0.369547663745294
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria180866	-0.500935013421866
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria193979	-0.365854396685865
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria200147	0.0168707126880383
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria169687	0.0942294559026306
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria196458	0.900224131860965
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria194010	-0.159541991958298
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria203394	0.228834330900965
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria177269	0.494732873908609
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria179918	-0.706037111079975
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria190220	-0.395104539457865
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria204213	-0.060084373773376
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria202216	-0.340406639112978
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria184131	-0.0245337069808584
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria196290	-0.24688795999161
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria168789	-0.0984039306385002
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria202471	-0.0176129666453125
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria174267	-1.33667883494312
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria202367	0.177314656439072
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria202396	0.311473624689657
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria192774	-0.0758517073243622
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria198370	-1.87356149627605
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria196824	0.00382444950634066
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria195333	-0.398037294443097
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria193087	-0.117571399440338
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria188349	-0.364587579654006
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria187841	0.0531124285435457
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria188612	-0.251932440065562
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria203605	0.54024404248438
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria192935	0.537146922819373
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria198098	-0.0393731977246768
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria204922	-0.0240336229784792
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria182373	0.419344038507599
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria190863	-0.0475421536165686
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria204469	0.0687005742334763
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria192638	0.441607125757327
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria199370	0.324362601801854
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria184804	0.481417133712773
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria196770	-0.214206431206404
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria196214	0.148654859500657
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria205246	-0.105827980406108
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria199931	-0.154751974506613
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria177009	0.0770810606973285
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria181493	0.0564515559820568
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria195817	-0.24962528296216
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria192554	-0.109961180017383
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria203118	-0.156238277952739
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria189316	0.589527996081431
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria181987	0.106875762177633
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria195346	-0.233564256857292
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria187597	-0.0212213231512909
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria181009	-0.109183560302104
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria183925	-1.33881418399977
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria176861	0.49055155240465
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria205068	-0.176183910663398
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria194988	0.0692098278169238
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria166945	-0.24648340875951
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria178147	-0.125463026485453
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria182259	-0.136462501537269
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria203910	0.0483431987052922
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria172611	0.0956714548034842
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria173959	0.196643892735354
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria199851	-0.0865483913740256
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria185756	0.261599463081228
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria178030	0.984372825593256
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria193031	-0.210147440541527
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria193249	-0.0947555389625767
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria190309	-0.0637659429750947
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria190976	0.144523940818477
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria200350	-0.123145698329363
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria177742	-0.338091201103596
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria185795	0.0529740126149107
"transcription coactivator activity"	GO:0003713	2	Pseudodiploria193392	-0.212059261737189
