"","module","gene","annot"
"1","black","Pseudodiploria196323","eukaryotic translation initiation factor"
"2","blue","Pseudodiploria184733","tRNA methyltransferase 10 homolog A"
"3","brown","Pseudodiploria205417","mechanosensitive ion channel activity"
"4","cyan","Pseudodiploria193556",NA
"5","darkred","Pseudodiploria194706",NA
"6","green","Pseudodiploria187510",NA
"7","greenyellow","Pseudodiploria93691",NA
"8","grey60","Pseudodiploria170430",NA
"9","lightcyan","Pseudodiploria197712","Ribosomal protein L14p/L23e"
"10","lightgreen","Pseudodiploria186928","Calreticulin"
"11","midnightblue","Pseudodiploria190995","protein ubiquitination"
"12","pink","Pseudodiploria175346","Belongs to the SKP1 family"
"13","royalblue","Pseudodiploria203182","Methionine biosynthesis protein MetW"
"14","salmon","Pseudodiploria199683","Belongs to the eukaryotic ribosomal protein eS24 family"
