 contrast                                   estimate   SE    df t.ratio p.value
 Treated num_days0 - Untreated num_days0     -0.7794 1.87  3.02  -0.417  1.0000
 Treated num_days0 - Treated num_days7       -0.0869 0.99 52.00  -0.088  1.0000
 Treated num_days0 - Untreated num_days7     -1.1036 1.87  3.02  -0.590  1.0000
 Treated num_days0 - Treated num_days28       1.6453 0.99 52.00   1.661  1.0000
 Treated num_days0 - Untreated num_days28     3.3231 1.87  3.02   1.777  1.0000
 Untreated num_days0 - Treated num_days7      0.6925 1.87  3.02   0.370  1.0000
 Untreated num_days0 - Untreated num_days7   -0.3242 0.99 52.00  -0.327  1.0000
 Untreated num_days0 - Treated num_days28     2.4247 1.87  3.02   1.296  1.0000
 Untreated num_days0 - Untreated num_days28   4.1025 0.99 52.00   4.143  0.0019
 Treated num_days7 - Untreated num_days7     -1.0167 1.87  3.02  -0.544  1.0000
 Treated num_days7 - Treated num_days28       1.7322 0.99 52.00   1.749  1.0000
 Treated num_days7 - Untreated num_days28     3.4100 1.87  3.02   1.823  1.0000
 Untreated num_days7 - Treated num_days28     2.7489 1.87  3.02   1.470  1.0000
 Untreated num_days7 - Untreated num_days28   4.4267 0.99 52.00   4.470  0.0006
 Treated num_days28 - Untreated num_days28    1.6778 1.87  3.02   0.897  1.0000

Results are averaged over some or all of the levels of: Genotype 
Degrees-of-freedom method: kenward-roger 
P value adjustment: bonferroni method for 15 tests 
