Species,Genotype,ID,Tank,Treatment,num_days,mean_replicate_percent_perID,mean_untreated_day0_genet,relative_activity
Acer,SI-C,A106,T6,Untreated,28,2.9766666666666666,5.913333333333333,-49.661781285231115
Acer,BC-8b,A108,T7,Untreated,28,2.67,7.489166666666667,-64.34850339379103
Acer,SI-C,A113,T8,Treated,28,2.8366666666666664,5.913333333333333,-52.029312288613305
Acer,SI-C,A114,T7,Untreated,28,2.54,5.913333333333333,-57.04622322435174
Acer,SI-C,A123,T6,Untreated,28,2.73,5.913333333333333,-53.833145434047346
Acer,BC-8b,A137,T5,Treated,28,3.1366666666666667,7.489166666666667,-58.11728051630133
Acer,SI-C,A141,T5,Treated,28,2.783333333333333,5.913333333333333,-52.931228861330325
Acer,MB-B,A143,T6,Untreated,28,3.6566666666666667,7.789166666666667,-53.0544559751792
Acer,BC-8b,A146,T6,Untreated,28,3.0366666666666666,7.489166666666667,-59.45254256147769
Acer,BC-8b,A30,T5,Treated,28,2.98,7.489166666666667,-60.209191053744306
Acer,MB-B,A38,T8,Treated,28,2.993333333333333,7.789166666666667,-61.57055739809565
Acer,MB-B,A41,T5,Treated,28,3.16,7.789166666666667,-59.43083342248849
Acer,MB-B,A56,T7,Untreated,28,3.07,7.789166666666667,-60.58628436931636
Acer,MB-B,A57,T7,Untreated,28,2.58,7.789166666666667,-66.87707285760138
Acer,MB-B,A59,T5,Treated,28,2.93,7.789166666666667,-62.38365250882636
Acer,BC-8b,A68,T8,Treated,28,2.5366666666666666,7.489166666666667,-66.12885278735952
Acer,SI-C,A69,T8,Treated,28,2.9066666666666667,5.913333333333333,-50.8455467869222
Acer,BC-8b,A72,T6,Untreated,28,2.9,7.489166666666667,-61.2774006898854
Acer,MB-B,A74,T8,Treated,28,2.9166666666666665,7.789166666666667,-62.55483042687494
Acer,SI-C,A82,T7,Untreated,28,2.2533333333333334,5.913333333333333,-61.89402480270575
Acer,BC-8b,A89,T7,Untreated,28,2.6066666666666665,7.489166666666667,-65.19416935573607
Acer,BC-8b,A91,T8,Treated,28,4.383333333333333,7.489166666666667,-41.47101368643597
Acer,SI-C,A96,T5,Treated,28,2.6,5.913333333333333,-56.0315670800451
Acer,MB-B,A97,T6,Untreated,28,3.5233333333333334,7.789166666666667,-54.76623515566492
Pcli,A,P101,T2,Treated,28,8.563333333333333,8.95,-4.3202979515828686
Pcli,B,P109,T3,Treated,28,4.94,7.339166666666666,-32.68990575678437
Pcli,B,P124,T1,Untreated,28,3.41,7.339166666666666,-53.53695923697058
Pcli,A,P130,T3,Treated,28,2.2466666666666666,8.95,-74.89757914338921
Pcli,A,P132,T2,Treated,28,6.22,8.95,-30.50279329608938
Pcli,C,P135,T4,Untreated,28,4.043333333333333,7.3966666666666665,-45.335736818386664
Pcli,C,P15,T2,Treated,28,10.633333333333333,7.3966666666666665,43.7584497521406
Pcli,C,P18,T3,Treated,28,3.41,7.3966666666666665,-53.89815232086526
Pcli,B,P24,T4,Untreated,28,3.29,7.339166666666666,-55.17202225502441
Pcli,C,P3,T1,Untreated,28,1.6266666666666665,7.3966666666666665,-78.00811176205498
Pcli,C,P38,T1,Untreated,28,5.68,7.3966666666666665,-23.20865254619198
Pcli,C,P39,T3,Treated,28,2.6566666666666667,7.3966666666666665,-64.0829202343398
Pcli,A,P4,T4,Untreated,28,2.6500000000000004,8.95,-70.39106145251395
Pcli,B,P49,T4,Untreated,28,4.663333333333333,7.339166666666666,-36.45963438174179
Pcli,A,P50,T1,Untreated,28,4.0633333333333335,8.95,-54.59962756052141
Pcli,A,P58,T4,Untreated,28,3.716666666666667,8.95,-58.4729981378026
Pcli,B,P6,T3,Treated,28,5.253333333333334,7.339166666666666,-28.420574542977167
Pcli,C,P64,T4,Untreated,28,4.223333333333333,7.3966666666666665,-42.90220820189275
Pcli,B,P66,T1,Untreated,28,2.5100000000000002,7.339166666666666,-65.79993187237424
Pcli,A,P69,T1,Untreated,28,5.636666666666667,8.95,-37.02048417132215
Pcli,C,P76,T2,Treated,28,8.16,7.3966666666666665,10.319963947724204
Pcli,B,P79,T2,Treated,28,6.046666666666667,7.339166666666666,-17.61099125695469
Pcli,A,P8,T3,Treated,28,3.17,8.95,-64.58100558659218
Pcli,B,P96,T2,Treated,28,4.346666666666667,7.339166666666666,-40.77438401271715
