,contrast,,,,,,,Contrast,estimate,SE,df,t.ratio,p.value
,Treated,BC-8b,num_days0),-,Untreated,BC-8b,num_days0),Treated BC-8b num_days0)-Untreated BC-8b num_days0),2.325,1.229,8.14,1.891,1
,(Treated,BC-8b,num_days0),-,(Treated,MB-B,num_days0),(Treated BC-8b num_days0)-(Treated MB-B num_days0),2.2025,0.936,52,2.354,1
,(Treated,BC-8b,num_days0),-,(Untreated,MB-B,num_days0),(Treated BC-8b num_days0)-(Untreated MB-B num_days0),2.025,1.229,8.14,1.647,1
,(Treated,BC-8b,num_days0),-,(Treated,SI-C,num_days0),(Treated BC-8b num_days0)-(Treated SI-C num_days0),3.9417,0.936,52,4.213,0.0154
,(Treated,BC-8b,num_days0),-,(Untreated,SI-C,num_days0),(Treated BC-8b num_days0)-(Untreated SI-C num_days0),3.9008,1.229,8.14,3.173,1
,(Treated,BC-8b,num_days0),-,(Treated,BC-8b,num_days7),(Treated BC-8b num_days0)-(Treated BC-8b num_days7),-1.4808,0.936,52,-1.583,1
,(Treated,BC-8b,num_days0),-,(Untreated,BC-8b,num_days7),(Treated BC-8b num_days0)-(Untreated BC-8b num_days7),1.8308,1.229,8.14,1.489,1
,(Treated,BC-8b,num_days0),-,(Treated,MB-B,num_days7),(Treated BC-8b num_days0)-(Treated MB-B num_days7),2.6333,0.936,52,2.815,1
,(Treated,BC-8b,num_days0),-,(Untreated,MB-B,num_days7),(Treated BC-8b num_days0)-(Untreated MB-B num_days7),3.045,1.229,8.14,2.477,1
,(Treated,BC-8b,num_days0),-,(Treated,SI-C,num_days7),(Treated BC-8b num_days0)-(Treated SI-C num_days7),1.7242,0.936,52,1.843,1
,(Treated,BC-8b,num_days0),-,(Untreated,SI-C,num_days7),(Treated BC-8b num_days0)-(Untreated SI-C num_days7),1.855,1.229,8.14,1.509,1
,(Treated,BC-8b,num_days0),-,(Treated,BC-8b,num_days28),(Treated BC-8b num_days0)-(Treated BC-8b num_days28),6.555,0.936,52,7.007,<.0001
,(Treated,BC-8b,num_days0),-,(Untreated,BC-8b,num_days28),(Treated BC-8b num_days0)-(Untreated BC-8b num_days28),7.0108,1.229,8.14,5.703,0.065
,(Treated,BC-8b,num_days0),-,(Treated,MB-B,num_days28),(Treated BC-8b num_days0)-(Treated MB-B num_days28),6.8142,0.936,52,7.284,<.0001
,(Treated,BC-8b,num_days0),-,(Untreated,MB-B,num_days28),(Treated BC-8b num_days0)-(Untreated MB-B num_days28),6.6067,1.229,8.14,5.374,0.0961
,(Treated,BC-8b,num_days0),-,(Treated,SI-C,num_days28),(Treated BC-8b num_days0)-(Treated SI-C num_days28),7.0325,0.936,52,7.517,<.0001
,(Treated,BC-8b,num_days0),-,(Untreated,SI-C,num_days28),(Treated BC-8b num_days0)-(Untreated SI-C num_days28),7.1892,1.229,8.14,5.848,0.0549
,(Untreated,BC-8b,num_days0),-,(Treated,MB-B,num_days0),(Untreated BC-8b num_days0)-(Treated MB-B num_days0),-0.1225,1.229,8.14,-0.1,1
,(Untreated,BC-8b,num_days0),-,(Untreated,MB-B,num_days0),(Untreated BC-8b num_days0)-(Untreated MB-B num_days0),-0.3,0.936,52,-0.321,1
,(Untreated,BC-8b,num_days0),-,(Treated,SI-C,num_days0),(Untreated BC-8b num_days0)-(Treated SI-C num_days0),1.6167,1.229,8.14,1.315,1
,(Untreated,BC-8b,num_days0),-,(Untreated,SI-C,num_days0),(Untreated BC-8b num_days0)-(Untreated SI-C num_days0),1.5758,0.936,52,1.684,1
,(Untreated,BC-8b,num_days0),-,(Treated,BC-8b,num_days7),(Untreated BC-8b num_days0)-(Treated BC-8b num_days7),-3.8058,1.229,8.14,-3.096,1
,(Untreated,BC-8b,num_days0),-,(Untreated,BC-8b,num_days7),(Untreated BC-8b num_days0)-(Untreated BC-8b num_days7),-0.4942,0.936,52,-0.528,1
,(Untreated,BC-8b,num_days0),-,(Treated,MB-B,num_days7),(Untreated BC-8b num_days0)-(Treated MB-B num_days7),0.3083,1.229,8.14,0.251,1
,(Untreated,BC-8b,num_days0),-,(Untreated,MB-B,num_days7),(Untreated BC-8b num_days0)-(Untreated MB-B num_days7),0.72,0.936,52,0.77,1
,(Untreated,BC-8b,num_days0),-,(Treated,SI-C,num_days7),(Untreated BC-8b num_days0)-(Treated SI-C num_days7),-0.6008,1.229,8.14,-0.489,1
,(Untreated,BC-8b,num_days0),-,(Untreated,SI-C,num_days7),(Untreated BC-8b num_days0)-(Untreated SI-C num_days7),-0.47,0.936,52,-0.502,1
,(Untreated,BC-8b,num_days0),-,(Treated,BC-8b,num_days28),(Untreated BC-8b num_days0)-(Treated BC-8b num_days28),4.23,1.229,8.14,3.441,1
,(Untreated,BC-8b,num_days0),-,(Untreated,BC-8b,num_days28),(Untreated BC-8b num_days0)-(Untreated BC-8b num_days28),4.6858,0.936,52,5.009,0.001
,(Untreated,BC-8b,num_days0),-,(Treated,MB-B,num_days28),(Untreated BC-8b num_days0)-(Treated MB-B num_days28),4.4892,1.229,8.14,3.652,0.962
,(Untreated,BC-8b,num_days0),-,(Untreated,MB-B,num_days28),(Untreated BC-8b num_days0)-(Untreated MB-B num_days28),4.2817,0.936,52,4.577,0.0045
,(Untreated,BC-8b,num_days0),-,(Treated,SI-C,num_days28),(Untreated BC-8b num_days0)-(Treated SI-C num_days28),4.7075,1.229,8.14,3.829,0.7437
,(Untreated,BC-8b,num_days0),-,(Untreated,SI-C,num_days28),(Untreated BC-8b num_days0)-(Untreated SI-C num_days28),4.8642,0.936,52,5.199,0.0005
,(Treated,MB-B,num_days0),-,(Untreated,MB-B,num_days0),(Treated MB-B num_days0)-(Untreated MB-B num_days0),-0.1775,1.229,8.14,-0.144,1
,(Treated,MB-B,num_days0),-,(Treated,SI-C,num_days0),(Treated MB-B num_days0)-(Treated SI-C num_days0),1.7392,0.936,52,1.859,1
,(Treated,MB-B,num_days0),-,(Untreated,SI-C,num_days0),(Treated MB-B num_days0)-(Untreated SI-C num_days0),1.6983,1.229,8.14,1.381,1
,(Treated,MB-B,num_days0),-,(Treated,BC-8b,num_days7),(Treated MB-B num_days0)-(Treated BC-8b num_days7),-3.6833,0.936,52,-3.937,0.0377
,(Treated,MB-B,num_days0),-,(Untreated,BC-8b,num_days7),(Treated MB-B num_days0)-(Untreated BC-8b num_days7),-0.3717,1.229,8.14,-0.302,1
,(Treated,MB-B,num_days0),-,(Treated,MB-B,num_days7),(Treated MB-B num_days0)-(Treated MB-B num_days7),0.4308,0.936,52,0.461,1
,(Treated,MB-B,num_days0),-,(Untreated,MB-B,num_days7),(Treated MB-B num_days0)-(Untreated MB-B num_days7),0.8425,1.229,8.14,0.685,1
,(Treated,MB-B,num_days0),-,(Treated,SI-C,num_days7),(Treated MB-B num_days0)-(Treated SI-C num_days7),-0.4783,0.936,52,-0.511,1
,(Treated,MB-B,num_days0),-,(Untreated,SI-C,num_days7),(Treated MB-B num_days0)-(Untreated SI-C num_days7),-0.3475,1.229,8.14,-0.283,1
,(Treated,MB-B,num_days0),-,(Treated,BC-8b,num_days28),(Treated MB-B num_days0)-(Treated BC-8b num_days28),4.3525,0.936,52,4.652,0.0035
,(Treated,MB-B,num_days0),-,(Untreated,BC-8b,num_days28),(Treated MB-B num_days0)-(Untreated BC-8b num_days28),4.8083,1.229,8.14,3.911,0.6614
,(Treated,MB-B,num_days0),-,(Treated,MB-B,num_days28),(Treated MB-B num_days0)-(Treated MB-B num_days28),4.6117,0.936,52,4.929,0.0013
,(Treated,MB-B,num_days0),-,(Untreated,MB-B,num_days28),(Treated MB-B num_days0)-(Untreated MB-B num_days28),4.4042,1.229,8.14,3.582,1
,(Treated,MB-B,num_days0),-,(Treated,SI-C,num_days28),(Treated MB-B num_days0)-(Treated SI-C num_days28),4.83,0.936,52,5.163,0.0006
,(Treated,MB-B,num_days0),-,(Untreated,SI-C,num_days28),(Treated MB-B num_days0)-(Untreated SI-C num_days28),4.9867,1.229,8.14,4.056,0.5387
,(Untreated,MB-B,num_days0),-,(Treated,SI-C,num_days0),(Untreated MB-B num_days0)-(Treated SI-C num_days0),1.9167,1.229,8.14,1.559,1
,(Untreated,MB-B,num_days0),-,(Untreated,SI-C,num_days0),(Untreated MB-B num_days0)-(Untreated SI-C num_days0),1.8758,0.936,52,2.005,1
,(Untreated,MB-B,num_days0),-,(Treated,BC-8b,num_days7),(Untreated MB-B num_days0)-(Treated BC-8b num_days7),-3.5058,1.229,8.14,-2.852,1
,(Untreated,MB-B,num_days0),-,(Untreated,BC-8b,num_days7),(Untreated MB-B num_days0)-(Untreated BC-8b num_days7),-0.1942,0.936,52,-0.208,1
,(Untreated,MB-B,num_days0),-,(Treated,MB-B,num_days7),(Untreated MB-B num_days0)-(Treated MB-B num_days7),0.6083,1.229,8.14,0.495,1
,(Untreated,MB-B,num_days0),-,(Untreated,MB-B,num_days7),(Untreated MB-B num_days0)-(Untreated MB-B num_days7),1.02,0.936,52,1.09,1
,(Untreated,MB-B,num_days0),-,(Treated,SI-C,num_days7),(Untreated MB-B num_days0)-(Treated SI-C num_days7),-0.3008,1.229,8.14,-0.245,1
,(Untreated,MB-B,num_days0),-,(Untreated,SI-C,num_days7),(Untreated MB-B num_days0)-(Untreated SI-C num_days7),-0.17,0.936,52,-0.182,1
,(Untreated,MB-B,num_days0),-,(Treated,BC-8b,num_days28),(Untreated MB-B num_days0)-(Treated BC-8b num_days28),4.53,1.229,8.14,3.685,0.9165
,(Untreated,MB-B,num_days0),-,(Untreated,BC-8b,num_days28),(Untreated MB-B num_days0)-(Untreated BC-8b num_days28),4.9858,0.936,52,5.329,0.0003
,(Untreated,MB-B,num_days0),-,(Treated,MB-B,num_days28),(Untreated MB-B num_days0)-(Treated MB-B num_days28),4.7892,1.229,8.14,3.896,0.6763
,(Untreated,MB-B,num_days0),-,(Untreated,MB-B,num_days28),(Untreated MB-B num_days0)-(Untreated MB-B num_days28),4.5817,0.936,52,4.897,0.0015
,(Untreated,MB-B,num_days0),-,(Treated,SI-C,num_days28),(Untreated MB-B num_days0)-(Treated SI-C num_days28),5.0075,1.229,8.14,4.073,0.526
,(Untreated,MB-B,num_days0),-,(Untreated,SI-C,num_days28),(Untreated MB-B num_days0)-(Untreated SI-C num_days28),5.1642,0.936,52,5.52,0.0002
,(Treated,SI-C,num_days0),-,(Untreated,SI-C,num_days0),(Treated SI-C num_days0)-(Untreated SI-C num_days0),-0.0408,1.229,8.14,-0.033,1
,(Treated,SI-C,num_days0),-,(Treated,BC-8b,num_days7),(Treated SI-C num_days0)-(Treated BC-8b num_days7),-5.4225,0.936,52,-5.796,0.0001
,(Treated,SI-C,num_days0),-,(Untreated,BC-8b,num_days7),(Treated SI-C num_days0)-(Untreated BC-8b num_days7),-2.1108,1.229,8.14,-1.717,1
,(Treated,SI-C,num_days0),-,(Treated,MB-B,num_days7),(Treated SI-C num_days0)-(Treated MB-B num_days7),-1.3083,0.936,52,-1.398,1
,(Treated,SI-C,num_days0),-,(Untreated,MB-B,num_days7),(Treated SI-C num_days0)-(Untreated MB-B num_days7),-0.8967,1.229,8.14,-0.729,1
,(Treated,SI-C,num_days0),-,(Treated,SI-C,num_days7),(Treated SI-C num_days0)-(Treated SI-C num_days7),-2.2175,0.936,52,-2.37,1
,(Treated,SI-C,num_days0),-,(Untreated,SI-C,num_days7),(Treated SI-C num_days0)-(Untreated SI-C num_days7),-2.0867,1.229,8.14,-1.697,1
,(Treated,SI-C,num_days0),-,(Treated,BC-8b,num_days28),(Treated SI-C num_days0)-(Treated BC-8b num_days28),2.6133,0.936,52,2.793,1
