gene,annot,lfc,KOG,nseqs,delta.rank,pval,padj
Pseudodiploria164308,Macrophage migration inhibitory factor (MIF),-0.21818466825342334,Defense mechanisms,47,-120,0.747740300569567,0.9335482974542886
Pseudodiploria164412,metalloendopeptidase activity,-0.1928398382254387,"Posttranslational modification, protein turnover, chaperones",951,82,0.34889531550144,0.758561604900928
Pseudodiploria164590,Calcium ion binding. It is involved in the biological process described with protein folding,-0.12347185901287452,"Posttranslational modification, protein turnover, chaperones",951,82,0.34889531550144,0.758561604900928
Pseudodiploria164681,MAP kinase activity,-0.027622325155944726,Signal transduction mechanisms,1143,-191,0.0182218966710307,0.15184913892525587
Pseudodiploria164735,purine-rich negative regulatory element binding,0.8980984169896028,Transcription,499,-17,0.888466439541529,0.9335482974542886
Pseudodiploria164777,serine-type endopeptidase activity,0.34299607884274874,"Posttranslational modification, protein turnover, chaperones",951,82,0.34889531550144,0.758561604900928
Pseudodiploria164795,DnaJ molecular chaperone homology domain,-0.22682869221938123,"Posttranslational modification, protein turnover, chaperones",951,82,0.34889531550144,0.758561604900928
Pseudodiploria164798,cell redox homeostasis,0.26610381536342065,"Posttranslational modification, protein turnover, chaperones",951,82,0.34889531550144,0.758561604900928
Pseudodiploria164810,transmembrane receptor protein tyrosine kinase activity,0.6567207409010898,Signal transduction mechanisms,1143,-191,0.0182218966710307,0.15184913892525587
Pseudodiploria164812,Polo kinase kinase,0.08404094080222242,Signal transduction mechanisms,1143,-191,0.0182218966710307,0.15184913892525587
Pseudodiploria164857,L-aspartate import across plasma membrane,0.12388379884084753,Amino acid transport and metabolism,288,258,0.0913706043558931,0.5710662772243319
Pseudodiploria164895,acetylcholine-gated cation-selective channel activity,-0.9507462167649711,"Intracellular trafficking, secretion, and vesicular transport",384,101,0.446877368123089,0.758561604900928
Pseudodiploria164946,post-chaperonin tubulin folding pathway,0.3846145065313574,Cytoskeleton,274,43,0.785463104317014,0.9335482974542886
Pseudodiploria164969,"Cytochrome P450, family 21, subfamily A, polypeptide 2",0.3551628172254033,"Secondary metabolites biosynthesis, transport and catabolism",203,126,0.485479427136594,0.758561604900928
Pseudodiploria165047,signaling receptor binding,-0.5040314626028638,Cell wall/membrane/envelope biogenesis,81,-428,0.133286563082419,0.6664328154120951
Pseudodiploria165280,4-coumarate--CoA ligase 1-like,0.2534800606144786,Lipid transport and metabolism,241,-175,0.29518530523864,0.758561604900928
Pseudodiploria165438,negative regulation of cell growth,-2.2310037593741368,Signal transduction mechanisms,1143,-191,0.0182218966710307,0.15184913892525587
