gene,annot
Pseudodiploria165214,NA
Pseudodiploria166380,NA
Pseudodiploria167956,NA
Pseudodiploria168212,NA
Pseudodiploria168214,NA
Pseudodiploria168859,NA
Pseudodiploria170580,Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine
Pseudodiploria171308,NA
Pseudodiploria172053,NA
Pseudodiploria173531,thick ascending limb development
Pseudodiploria173906,NA
Pseudodiploria174658,NA
Pseudodiploria174822,PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Pseudodiploria175640,Belongs to the AAA ATPase family
Pseudodiploria176070,nucleoside phosphate binding
Pseudodiploria176147,NA
Pseudodiploria177399,NA
Pseudodiploria178698,NA
Pseudodiploria178819,cysteine-rich protein 1
Pseudodiploria183007,transducer of ERBB2
Pseudodiploria183218,NA
Pseudodiploria184094,NA
Pseudodiploria184239,NA
Pseudodiploria184632,glycoside hydrolase family 63
Pseudodiploria184779,NA
Pseudodiploria185010,NA
Pseudodiploria185310,NA
Pseudodiploria186761,"Essential component of the vacuolar proton pump (V- ATPase), a multimeric enzyme that catalyzes the translocation of protons across the membranes. Required for assembly and activity of the V-ATPase"
Pseudodiploria186793,7 transmembrane receptor (rhodopsin family)
Pseudodiploria187209,"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water"
Pseudodiploria187226,Transmembrane transporter activity. It is involved in the biological process described with transmembrane transport
Pseudodiploria187669,NA
Pseudodiploria188741,NA
Pseudodiploria190674,nucleosome assembly
Pseudodiploria190873,Collagen triple helix
Pseudodiploria190913,NA
Pseudodiploria191268,"BCL (B-Cell lymphoma); contains BH1, BH2 regions"
Pseudodiploria191546,NA
Pseudodiploria191664,NA
Pseudodiploria191681,Neurotransmitter-gated ion-channel ligand binding domain
Pseudodiploria191982,"Mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase"
Pseudodiploria192756,NA
Pseudodiploria192866,NA
Pseudodiploria193009,axonogenesis involved in innervation
Pseudodiploria193157,guanyl-nucleotide exchange factor activity
Pseudodiploria193327,NA
Pseudodiploria193764,Belongs to the ATG8 family
Pseudodiploria194189,RNA splicing
Pseudodiploria195828,26s proteasome non-ATPase regulatory subunit
Pseudodiploria195860,protein disulfide isomerase activity
Pseudodiploria196068,Four-disulfide core domains
Pseudodiploria196411,Collagen triple helix
Pseudodiploria196781,RNA splicing
Pseudodiploria197058,NA
Pseudodiploria197101,X-ray repair cross-complementing protein 5
Pseudodiploria197566,NA
Pseudodiploria197583,NA
Pseudodiploria197663,RNA-directed 5'-3' RNA polymerase activity
Pseudodiploria198757,sterol response element binding
Pseudodiploria199221,NA
Pseudodiploria199236,Methyltransferase like 22
Pseudodiploria199404,Sulfatase-modifying factor enzyme 1
Pseudodiploria199449,CNDP dipeptidase 2 (metallopeptidase M20 family)
Pseudodiploria199807,deadenylation-dependent decapping of nuclear-transcribed mRNA
Pseudodiploria199968,NA
Pseudodiploria200018,"negative regulation of DNA damage response, signal transduction by p53 class mediator"
Pseudodiploria200329,NA
Pseudodiploria200917,NA
Pseudodiploria201662,negative regulation of dense core granule exocytosis
Pseudodiploria201832,NA
Pseudodiploria201995,protein kinase regulator activity
Pseudodiploria202299,chaperone mediated protein folding independent of cofactor
Pseudodiploria202766,protein import into mitochondrial matrix
Pseudodiploria202916,Solute carrier family 12
Pseudodiploria203017,positive regulation of maintenance of mitotic sister chromatid cohesion
Pseudodiploria203350,poly(G) binding
Pseudodiploria203705,"protein complex 3, delta 1 subunit"
Pseudodiploria203879,NA
Pseudodiploria203983,polycystic kidney disease protein 1-like
Pseudodiploria205012,RNA recognition motif
Pseudodiploria205124,NA
Pseudodiploria205158,NA
Pseudodiploria205213,Zinc finger protein
Pseudodiploria205306,positive regulation of mitotic centrosome separation
Pseudodiploria205518,NA
Pseudodiploria293394,NA
Pseudodiploria37249,NA
Pseudodiploria54417,NA
Pseudodiploria62723,NA
Pseudodiploria74531,NA
Pseudodiploria84865,cellular macromolecule catabolic process
Pseudodiploria95707,NA
