Acropora_000363	Posttranslational modification, protein turnover, chaperones
Acropora_021734	Posttranslational modification, protein turnover, chaperones
Acropora_008889	Inorganic ion transport and metabolism
Acropora_023284	Signal transduction mechanisms
Acropora_033599	Nucleotide transport and metabolism
Acropora_023976	
Acropora_008228	Function Unknown
Acropora_010899	Posttranslational modification, protein turnover, chaperones
Acropora_022804	Transcription
Acropora_014185	Signal transduction mechanisms
Acropora_000663	Inorganic ion transport and metabolism
Acropora_020121	RNA processing and modification
Acropora_016356	Replication, recombination and repair
Acropora_000456	Signal transduction mechanisms
Acropora_013425	Function Unknown
Acropora_010375	Function Unknown
Acropora_024417	Cytoskeleton
Acropora_020434	Posttranslational modification, protein turnover, chaperones
Acropora_027916	Intracellular trafficking, secretion, and vesicular transport
Acropora_005400	Signal transduction mechanisms
Acropora_019907	Replication, recombination and repair
Acropora_029516	Signal transduction mechanisms
Acropora_34379	Signal transduction mechanisms
Acropora_026151	Posttranslational modification, protein turnover, chaperones
Acropora_019897	
Acropora_014002	Posttranslational modification, protein turnover, chaperones
Acropora_018217	Signal transduction mechanisms
Acropora_009391	Intracellular trafficking, secretion, and vesicular transport
Acropora_020633	Transcription
Acropora_027289	Function Unknown
Acropora_005797	Transcription
Acropora_022264	Function Unknown
Acropora_014795	Replication, recombination and repair
Acropora_34125	Signal transduction mechanisms
Acropora_031214	Posttranslational modification, protein turnover, chaperones
Acropora_015927	Posttranslational modification, protein turnover, chaperones
Acropora_010096	Lipid transport and metabolism
Acropora_001842	Lipid transport and metabolism
Acropora_017572	Function Unknown
Acropora_019900	Function Unknown
Acropora_022224	Nucleotide transport and metabolism
Acropora_014815	Function Unknown
Acropora_014156	Signal transduction mechanisms
Acropora_031675	
Acropora_029163	Amino acid transport and metabolism
Acropora_026450	Function Unknown
Acropora_006528	Energy production and conversion
Acropora_018682	Signal transduction mechanisms
Acropora_010388	Function Unknown
Acropora_002092	Transcription
Acropora_001770	Function Unknown
Acropora_001045	Replication, recombination and repair
Acropora_018413	Function Unknown
Acropora_012058	Posttranslational modification, protein turnover, chaperones
