"","pval","term","direction","color"
"77/274 ncRNA processing",0.0128660757696331,"GO:0034470",1,"lightcoral"
"24/63 ribosomal large subunit biogenesis",0.0132547785573475,"GO:0042273",1,"lightcoral"
"107/336 ribonucleoprotein complex biogenesis",0.0495682665856315,"GO:0022613",1,"lightcoral"
"67/219 ribosome biogenesis",0.00432914540964232,"GO:0042254",1,"firebrick1"
"55/99 translational initiation",2.23921816443646e-07,"GO:0006413",1,"firebrick1"
"191/507 cellular amide metabolic process",5.31437596516665e-13,"GO:0043603",1,"firebrick1"
"162/420 amide biosynthetic process",3.03811930648145e-09,"GO:0006518;GO:0043604",1,"firebrick1"
"57/86 cytoplasmic translation",1.9496109805104e-14,"GO:0002181",1,"firebrick1"
"108/273 peptide biosynthetic process",4.97951805412476e-09,"GO:0006412;GO:0043043",1,"firebrick1"
"21/63 translational elongation",0.00667848303090016,"GO:0006414",1,"firebrick1"
"24/76 mitochondrial gene expression",0.015015301772854,"GO:0140053;GO:0032543",1,"lightcoral"
"140/360 organic cyclic compound catabolic process",1.26033751477121e-05,"GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361",1,"firebrick1"
"50/77 nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",4.36637981341215e-08,"GO:0000184",1,"firebrick1"
"76/177 RNA catabolic process",0.000776940073852789,"GO:0000956;GO:0006402;GO:0006401",1,"firebrick1"
"121/306 establishment of protein localization to organelle",0.0117156693253721,"GO:0072594",1,"lightcoral"
"53/77 establishment of protein localization to endoplasmic reticulum",3.64014161685197e-12,"GO:0006613;GO:0006614;GO:0045047;GO:0072599",1,"firebrick1"
"56/87 protein localization to endoplasmic reticulum",6.48570483603041e-09,"GO:0070972",1,"firebrick1"
"76/147 establishment of protein localization to membrane",3.32334926582168e-05,"GO:0090150",1,"firebrick1"
"113/236 protein targeting",0.000398871286245568,"GO:0006605",1,"firebrick1"
"61/90 protein targeting to membrane",2.83639974021226e-09,"GO:0006612",1,"firebrick1"
"18/69 isoprenoid metabolic process",0.0358480740840707,"GO:0006720",1,"lightcoral"
