"","pval","term","direction","color"
"5/14 guanylate cyclase complex, soluble",0.00859517968934577,"GO:0008074",0,"dodgerblue2"
"85/165 cytosolic part",1.5692691998014e-09,"GO:0044445",1,"firebrick1"
"24/53 small ribosomal subunit",1.46940957545243e-06,"GO:0015935",1,"firebrick1"
"18/32 cytosolic small ribosomal subunit",9.19685888701384e-07,"GO:0022627",1,"firebrick1"
"13/23 rough endoplasmic reticulum membrane",0.00251487312948929,"GO:0030867",1,"firebrick1"
"221/695 endoplasmic reticulum part",0.0329757845509739,"GO:0044432;GO:0005789;GO:0042175;GO:0098827",1,"lightcoral"
"30/57 polysome",0.0172943115468574,"GO:0005844",1,"lightcoral"
"14/20 polysomal ribosome",0.00046948732032047,"GO:0042788",1,"firebrick1"
"39/49 cytosolic large ribosomal subunit",7.54149628982963e-15,"GO:0022625",1,"firebrick1"
"74/151 ribosome",2.18640015435756e-15,"GO:0005840;GO:0044391",1,"firebrick1"
"48/81 large ribosomal subunit",8.41394983559854e-13,"GO:0015934",1,"firebrick1"
"57/87 cytosolic ribosome",1.0025697517227e-15,"GO:0022626",1,"firebrick1"
"11/13 cytoplasmic side of rough endoplasmic reticulum membrane",0.000303213843897094,"GO:0098556",1,"firebrick1"
"34/107 outer membrane",0.0218755812186788,"GO:0005741;GO:0031968;GO:0019867",1,"lightcoral"
"5/6 pyruvate dehydrogenase complex",0.0437672035831076,"GO:0045254",1,"lightcoral"
"38/68 oxidoreductase complex",9.47782296872699e-10,"GO:1990204",1,"firebrick1"
"11/24 mitochondrial nucleoid",0.000975209848794242,"GO:0009295;GO:0042645",1,"firebrick1"
"218/596 mitochondrial part",1.00000000000289e-15,"GO:0044429",1,"firebrick1"
"15/54 organellar ribosome",0.025555594937104,"GO:0000313;GO:0005761",1,"lightcoral"
"104/297 mitochondrial matrix",2.18640015435756e-15,"GO:0005759",1,"firebrick1"
"5/21 intrinsic component of mitochondrial inner membrane",0.0479751533850539,"GO:0031304;GO:0031305",1,"lightcoral"
"10/42 integral component of mitochondrial membrane",0.0102682503558329,"GO:0098573;GO:0032592",1,"lightcoral"
"124/291 organelle inner membrane",1.0002576391803e-15,"GO:0019866;GO:0005743",1,"firebrick1"
"28/44 respirasome",2.49936314220302e-10,"GO:0005746;GO:0070469;GO:0098803",1,"firebrick1"
"16/25 mitochondrial respiratory chain complex I",1.13660817632855e-05,"GO:0005747;GO:0045271;GO:0030964",1,"firebrick1"
"70/165 mitochondrial protein complex",1.03418725342402e-15,"GO:0098798",1,"firebrick1"
"42/75 inner mitochondrial membrane protein complex",7.24419681572778e-13,"GO:0098800",1,"firebrick1"
"60/124 mitochondrial membrane part",1.02287710057762e-15,"GO:0044455",1,"firebrick1"
"248/685 organelle envelope",9.47782296872699e-10,"GO:0031967;GO:0031975",1,"firebrick1"
"8/11 mitochondrial proton-transporting ATP synthase complex",0.000512717921902233,"GO:0005753;GO:0045259",1,"firebrick1"
"5/6 proton-transporting ATP synthase complex, catalytic core F(1)",0.0147767731457571,"GO:0000275;GO:0045261",1,"lightcoral"
"160/413 mitochondrial envelope",1.0025697517227e-15,"GO:0005740;GO:0031966",1,"firebrick1"
"7/12 proton-transporting two-sector ATPase complex, catalytic domain",0.0138890761222449,"GO:0033178",1,"lightcoral"
"191/515 membrane protein complex",0.0143565367643698,"GO:0098796",1,"lightcoral"
"7/10 proton-transporting two-sector ATPase complex, proton-transporting domain",0.00293158857660352,"GO:0033177",1,"firebrick1"
"5/6 mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",0.00990667288573484,"GO:0000276;GO:0045263",1,"firebrick1"
"14/29 proton-transporting two-sector ATPase complex",0.000128219310268948,"GO:0016469",1,"firebrick1"
"31/105 peroxisome",0.031174398194391,"GO:0005777;GO:0042579",1,"lightcoral"
"3/8 protein-lipid complex",0.0487628789907632,"GO:0032994;GO:0034358;GO:1990777",1,"lightcoral"
"26/70 lysosomal lumen",0.0386825215095583,"GO:0043202",1,"lightcoral"
"80/275 vacuolar part",0.0147748295821646,"GO:0044437",1,"lightcoral"
"38/110 vacuolar lumen",0.00367222330819198,"GO:0005775",1,"firebrick1"
"24/68 azurophil granule lumen",0.00740620437496483,"GO:0035578",1,"firebrick1"
"20/42 kinesin complex",0.00191648841225183,"GO:0005871",0,"dodgerblue2"
"9/33 ciliary base",0.0273360019806496,"GO:0097546",0,"skyblue2"
"19/59 photoreceptor cell cilium",0.00166792263174857,"GO:0097731;GO:0097733",0,"dodgerblue2"
"38/113 non-motile cilium",9.88697337313403e-06,"GO:0097730",0,"dodgerblue2"
"14/39 photoreceptor outer segment",0.0334711839552262,"GO:0001750",0,"skyblue2"
"150/420 cilium",1.02287710057762e-15,"GO:0005929;GO:0044441",0,"dodgerblue2"
"9/28 photoreceptor connecting cilium",0.0163804638665146,"GO:0032391",0,"skyblue2"
"13/51 ciliary transition zone",0.00467775329831182,"GO:0035869",0,"dodgerblue2"
"7/10 ciliary rootlet",0.0375908586433951,"GO:0035253",0,"skyblue2"
"12/40 ciliary tip",0.00423973406923561,"GO:0097542",0,"dodgerblue2"
"40/104 ciliary basal body",0.000978816157569925,"GO:0036064",0,"dodgerblue2"
"156/439 microtubule organizing center",4.21509155962585e-05,"GO:0005813;GO:0005815",0,"dodgerblue2"
"253/701 microtubule cytoskeleton",1.51092521269503e-07,"GO:0015630",0,"dodgerblue2"
"47/117 sperm part",0.023908868618364,"GO:0097223",0,"skyblue2"
"42/123 motile cilium",1.5362184455412e-05,"GO:0031514",0,"dodgerblue2"
"28/85 9+2 motile cilium",0.00929136752539718,"GO:0036126;GO:0097729",0,"dodgerblue2"
"4/7 inner dynein arm",0.0054246239614549,"GO:0036156",0,"dodgerblue2"
"15/34 dynein complex",0.00216435374005077,"GO:0030286",0,"dodgerblue2"
"10/18 axonemal dynein complex",0.000148974412822089,"GO:0005858",0,"dodgerblue2"
