"","pval","term","direction","color"
"5/21 cyclase activity",0.0280099980487013,"GO:0009975",0,"skyblue2"
"26/74 hydrolase activity, acting on glycosyl bonds",0.00692718480965195,"GO:0004553;GO:0016798",1,"firebrick1"
"10/25 DNA secondary structure binding",0.0137241686878451,"GO:0000217",1,"lightcoral"
"25/125 nuclease activity",0.0376775768809882,"GO:0004518",1,"lightcoral"
"17/69 endonuclease activity",0.0364796006183439,"GO:0004519",1,"lightcoral"
"13/45 deoxyribonuclease activity",0.0364796006183439,"GO:0004536",1,"lightcoral"
"45/146 catalytic activity, acting on DNA",0.000222373157984713,"GO:0140097",1,"firebrick1"
"39/127 transferase activity, transferring one-carbon groups",0.0253051492194726,"GO:0008168;GO:0016741;GO:0008757",1,"lightcoral"
"95/271 transcription coregulator activity",0.0201672327679114,"GO:0003712",0,"skyblue2"
"29/98 transcription corepressor activity",0.00325894662196229,"GO:0003714",0,"dodgerblue2"
"9/31 promoter-specific chromatin binding",0.0269139782571749,"GO:1990841",0,"skyblue2"
"115/327 chromatin binding",0.00786917663216505,"GO:0003682",0,"dodgerblue2"
"21/59 chromatin DNA binding",0.0201672327679114,"GO:0031490",0,"skyblue2"
"149/403 transcription factor binding",0.000473031466332406,"GO:0008134",0,"dodgerblue2"
"8/22 transcription cofactor binding",0.0144032044552353,"GO:0001221",0,"skyblue2"
"4/9 transcription coactivator binding",0.0322962746827493,"GO:0001223",0,"skyblue2"
"149/446 sequence-specific DNA binding",2.90625742989259e-05,"GO:0003690;GO:0043565",0,"dodgerblue2"
"12/26 core promoter sequence-specific DNA binding",0.00561838126405375,"GO:0001046",0,"dodgerblue2"
"15/37 core promoter binding",0.0027879062376899,"GO:0001047",0,"dodgerblue2"
"148/448 DNA-binding transcription factor activity",8.35304021349467e-08,"GO:0000981;GO:0003700",0,"dodgerblue2"
"22/84 DNA-binding transcription repressor activity, RNA polymerase II-specific",0.00550786443484706,"GO:0001227;GO:0001217",0,"dodgerblue2"
"50/153 DNA-binding transcription activator activity",0.00554069828626217,"GO:0001228;GO:0001216",0,"dodgerblue2"
"3/6 cAMP response element binding",0.0144032044552353,"GO:0035497",0,"skyblue2"
"118/373 regulatory region nucleic acid binding",2.26721580905319e-08,"GO:0000976;GO:0044212;GO:1990837;GO:0001067;GO:0000977;GO:0001012",0,"dodgerblue2"
"60/179 proximal promoter sequence-specific DNA binding",6.84766114769566e-05,"GO:0000978;GO:0000987",0,"dodgerblue2"
"83/235 ubiquitin-like protein ligase binding",0.043535802116576,"GO:0031625;GO:0044389",0,"skyblue2"
"16/40 Hsp70 protein binding",0.0251172779398546,"GO:0030544",0,"skyblue2"
"31/98 heat shock protein binding",0.0123826561154199,"GO:0031072",0,"skyblue2"
"19/38 rRNA binding",0.034475954063373,"GO:0019843",1,"lightcoral"
"69/120 structural constituent of ribosome",1.00028291969858e-15,"GO:0003735",1,"firebrick1"
"132/284 structural molecule activity",2.26721580905319e-08,"GO:0005198",1,"firebrick1"
"29/77 calcium ion transmembrane transporter activity",0.0446007801263558,"GO:0015085;GO:0005262",0,"skyblue2"
"24/65 ligand-gated channel activity",0.0116692762613449,"GO:0015276;GO:0022834",0,"skyblue2"
"18/43 ligand-gated cation channel activity",0.0198699332366958,"GO:0099094",0,"skyblue2"
"4/11 voltage-gated sodium channel activity",0.0253051492194726,"GO:0005248",0,"skyblue2"
"70/201 metal ion transmembrane transporter activity",0.00786917663216505,"GO:0046873",0,"dodgerblue2"
"40/122 gated channel activity",9.88232013230201e-05,"GO:0022839;GO:0022836",0,"dodgerblue2"
"5/15 outward rectifier potassium channel activity",0.00837852842291143,"GO:0015271",0,"dodgerblue2"
"6/25 voltage-gated potassium channel activity",0.00440396465325785,"GO:0005249",0,"dodgerblue2"
"59/176 passive transmembrane transporter activity",6.84766114769566e-05,"GO:0005216;GO:0015267;GO:0022803;GO:0005261",0,"dodgerblue2"
"16/61 voltage-gated channel activity",0.000217873064909558,"GO:0005244;GO:0022832;GO:0022843",0,"dodgerblue2"
"11/38 potassium channel activity",0.00223701687655742,"GO:0005267",0,"dodgerblue2"
"18/61 potassium ion transmembrane transporter activity",0.00786917663216505,"GO:0015079",0,"dodgerblue2"
"42/120 molecular adaptor activity",0.0492670584392087,"GO:0030674;GO:0060090",0,"skyblue2"
"31/69 Rho GTPase binding",0.00561838126405375,"GO:0017048",0,"dodgerblue2"
"15/34 Rac GTPase binding",0.0176114864582647,"GO:0048365",0,"skyblue2"
"6/9 delta-catenin binding",0.00493677227109864,"GO:0070097",0,"dodgerblue2"
"153/447 kinase binding",4.24824395103196e-06,"GO:0019900;GO:0019901",0,"dodgerblue2"
"7/27 mitogen-activated protein kinase binding",0.00588824483520175,"GO:0051019",0,"dodgerblue2"
"8/23 actinin binding",0.0116692762613449,"GO:0042805;GO:0051393",0,"skyblue2"
"4/8 gamma-catenin binding",0.0339406157870662,"GO:0045295",0,"skyblue2"
"21/59 SH3 domain binding",0.00376711071953802,"GO:0017124",0,"dodgerblue2"
"154/435 protein domain specific binding",2.16374763024348e-07,"GO:0019904",0,"dodgerblue2"
"213/606 signaling receptor binding",0.000118897805769671,"GO:0005102",0,"dodgerblue2"
"15/58 phosphoprotein binding",0.0346449105188427,"GO:0051219",0,"skyblue2"
"27/61 calmodulin binding",0.00775313458229315,"GO:0005516",0,"dodgerblue2"
"125/417 kinase activity",0.000755001296331814,"GO:0016301;GO:0016773",0,"dodgerblue2"
"95/306 protein kinase activity",0.000118313598608892,"GO:0004672",0,"dodgerblue2"
