"","pval","term","direction","color"
"15/44 carbohydrate derivative transport",0.0387447072700321,"GO:1901264",1,"lightcoral"
"61/158 lipid catabolic process",0.00334123056633298,"GO:0016042;GO:0044242",1,"firebrick1"
"254/658 lipid metabolic process",0.0252283196715942,"GO:0006629;GO:0044255",1,"lightcoral"
"21/46 fatty acid beta-oxidation",0.0200368742604321,"GO:0006635",1,"lightcoral"
"62/174 carboxylic acid catabolic process",6.82419754646836e-06,"GO:0046395;GO:0016054",1,"firebrick1"
"35/85 monocarboxylic acid catabolic process",0.015444774388982,"GO:0009062;GO:0072329",1,"lightcoral"
"98/272 small molecule catabolic process",0.000183998595183851,"GO:0044282",1,"firebrick1"
"54/121 ammonium ion metabolic process",0.0440401413889607,"GO:0097164",1,"lightcoral"
"56/143 cellular modified amino acid metabolic process",0.00504543459654527,"GO:0006575",1,"firebrick1"
"8/13 amino-acid betaine metabolic process",0.0351394651862504,"GO:0006577",1,"lightcoral"
"27/47 cellular amine metabolic process",0.00334123056633298,"GO:0006576;GO:0044106;GO:0009308",1,"firebrick1"
"9/9 choline metabolic process",0.00848682918846895,"GO:0019695;GO:0042426",1,"firebrick1"
"11/19 cellular biogenic amine catabolic process",0.00283217432438303,"GO:0042402;GO:0009310",1,"firebrick1"
"244/648 organonitrogen compound catabolic process",0.000706177440049554,"GO:1901565",1,"firebrick1"
"13/16 neurotransmitter catabolic process",0.0468564725891878,"GO:0042135",1,"lightcoral"
"28/89 cellular amino acid catabolic process",0.00471888996524666,"GO:1901606;GO:0009063",1,"firebrick1"
"53/169 alpha-amino acid metabolic process",0.0239468356413758,"GO:1901605",1,"lightcoral"
"243/652 organic acid metabolic process",0.00175055300619478,"GO:0006082;GO:0019752;GO:0043436",1,"firebrick1"
"71/227 cellular amino acid metabolic process",0.0107886701272883,"GO:0006520",1,"lightcoral"
"7/17 cholesterol biosynthetic process",0.0351394651862504,"GO:0006695",1,"lightcoral"
"99/248 sulfur compound metabolic process",0.0095901372292667,"GO:0006790",1,"firebrick1"
"67/171 cofactor biosynthetic process",0.035749514845649,"GO:0009108;GO:0051188",1,"lightcoral"
"93/240 coenzyme metabolic process",0.00391971362084849,"GO:0006732",1,"firebrick1"
"142/370 cofactor metabolic process",2.52157900284477e-05,"GO:0051186",1,"firebrick1"
"12/23 mitochondrion morphogenesis",0.0249764484184813,"GO:0070584",1,"lightcoral"
"11/29 mitochondrion disassembly",0.0431320078840066,"GO:0000422;GO:0061726",1,"lightcoral"
"134/300 mitochondrion organization",1.71936026397567e-08,"GO:0007005",1,"firebrick1"
"23/59 mitochondrial transmembrane transport",0.00066658670175735,"GO:1990542",1,"firebrick1"
"53/141 mitochondrial transport",0.0107886701272883,"GO:0006839",1,"lightcoral"
"7/15 protein import into mitochondrial matrix",0.0478943203822294,"GO:0030150",1,"lightcoral"
"11/28 inner mitochondrial membrane organization",0.00895409136077363,"GO:0007007",1,"firebrick1"
"7/16 cristae formation",0.0170131874688383,"GO:0042407",1,"lightcoral"
"31/73 proton transmembrane transport",0.00149924810034166,"GO:1902600",1,"firebrick1"
"10/25 cytochrome complex assembly",0.00404156164835986,"GO:0017004",1,"firebrick1"
"21/33 NADH dehydrogenase complex assembly",5.65001518422297e-05,"GO:0010257;GO:0032981",1,"firebrick1"
"29/55 mitochondrial respiratory chain complex assembly",3.17503560091181e-07,"GO:0033108",1,"firebrick1"
"80/163 nucleoside monophosphate metabolic process",3.52260254785761e-05,"GO:0009123;GO:0009126;GO:0009161;GO:0009167",1,"firebrick1"
"6/9 mitochondrial electron transport, ubiquinol to cytochrome c",0.00605939898605357,"GO:0006122",1,"firebrick1"
"194/452 nucleobase-containing small molecule metabolic process",1.37211739289794e-05,"GO:0009117;GO:0006753;GO:0055086",1,"firebrick1"
"143/327 purine-containing compound metabolic process",7.28911491585279e-05,"GO:0009150;GO:0006163;GO:0009259;GO:0072521;GO:0019693",1,"firebrick1"
"10/14 ATP synthesis coupled proton transport",0.00304204136318604,"GO:0015985;GO:0015986;GO:0042776",1,"firebrick1"
"280/652 organophosphate metabolic process",2.08361589286344e-05,"GO:0019637",1,"firebrick1"
"79/158 nucleoside triphosphate metabolic process",3.23456610647592e-07,"GO:0046034;GO:0009205;GO:0009144;GO:0009199;GO:0009141",1,"firebrick1"
"232/598 oxidation-reduction process",2.75018368387699e-08,"GO:0055114",1,"firebrick1"
"57/105 cellular respiration",7.52314287413976e-09,"GO:0045333",1,"firebrick1"
"29/54 aerobic respiration",0.000852351655613125,"GO:0009060",1,"firebrick1"
"76/154 energy derivation by oxidation of organic compounds",7.07926069230816e-06,"GO:0015980",1,"firebrick1"
